motore,simbolo,tf,etichetta,cartella,vicino,is_passate,is_uniche,is_pf_med,is_pf_max,is_trades_med,is_trades_max,is_dd_med,is_profit_med,is_dd_max,is_profit_max,oos_passate,oos_uniche,oos_pf_med,oos_pf_max,oos_trades_med,oos_trades_max,oos_dd_med,oos_profit_med,oos_dd_max,oos_profit_max,unica_passate,unica_uniche,unica_pf_med,unica_pf_max,unica_trades_med,unica_trades_max,unica_dd_med,unica_profit_med,unica_dd_max,unica_profit_max,file
BreakingBand,USDCHF,H4,risultati_scan_ABTG_BreakingBand_H4,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H4,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.45573,115.74359,2,1,1.0392,-53.91,0.3105,44.75,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H4/scan_ABTG_BreakingBand_H4_USDCHF.csv
BreakingBand,D30EUR,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.45505,0.90547,5,4,1.6626,-97.16,1.0662,-8.47,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_D30EUR.csv
BreakingBand,EURSEK,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.45476,0.609,9,8,3.6506,-212.38,2.6877,-115.31,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_EURSEK.csv
SupertrendReversal,CADCHF,H1,H1_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,99,99,0.45242,1.41919,208,52,13.3866,-1205.66,2.9511,168.7,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC/scan_ABTG_SupertrendReversal_H1_CADCHF.csv
SupertrendReversal,EURCHF,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,97,96,0.45097,3.86433,141,24,16.8515,-1236.53,1.0046,299.58,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_EURCHF.csv
CostToCost,XPDUSD,H4,scan_h4,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h4,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,9,9,0.44852,0.56824,204,143,59.1797,-5770.32,32.0325,-2741.06,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h4/scan_ABTG_CostToCost_H4_XPDUSD.csv
GapFill,USDPLN,H1,scan1,backtest_pipeline/risultati_prove/ABTG_GapFill/scan1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.44285,0.48053,6,4,3.2439,-163.49,1.7256,-101.11,backtest_pipeline/risultati_prove/ABTG_GapFill/scan1/scan_ABTG_GapFill_USDPLN.csv
PTE,PTEJPY,H1,S25_CROLLO_r80nat,backtest_pipeline/risultati_archivio/csv_R80,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,2,1,0.44212,0.44212,3,3,1.3891,-564.73,1.3891,-564.73,backtest_pipeline/risultati_archivio/csv_R80/PTEJPY_S25_CROLLO_r80nat.csv
CostToCost,EURSEK,H1,scan_h1,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,9,9,0.43979,0.51797,335,637,72.8453,-7097.71,91.9303,-9142.24,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1/scan_ABTG_CostToCost_EURSEK.csv
SupertrendReversal,USDPLN,H1,H1_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,89,89,0.43578,0.68398,520,285,47.2966,-4673.12,15.6456,-1477.61,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC/scan_ABTG_SupertrendReversal_H1_USDPLN.csv
BreakingBand,NZDCHF,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.43553,0.92288,6,3,1.9721,-98.98,1.275,-4.01,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_NZDCHF.csv
SupertrendReversal,NZDCHF,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,94,93,0.43509,3.08009,48,32,6.0535,-486.94,2.5364,394.51,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_NZDCHF.csv
BreakingBand,USDNOK,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,2,1,0.43473,0.43473,8,8,3.0135,-177.53,3.0135,-177.53,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_USDNOK.csv
EMA200,EURPLN,H1,H1_OHLC,backtest_pipeline/risultati_archivio/EMA200/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,87,87,0.432,0.60277,621,508,44.1639,-4128.49,29.8404,-2286.35,backtest_pipeline/risultati_archivio/EMA200/H1_OHLC/scan_ABTG_EMA200_H1_EURPLN.csv
BreakingBand,XAGUSD,H4,risultati_scan_ABTG_BreakingBand_H4,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H4,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,2,1,0.42851,0.42851,3,3,6.1068,-187.15,6.1068,-187.15,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H4/scan_ABTG_BreakingBand_H4_XAGUSD.csv
BreakingBand,XAGUSD,H4,risultati_scan_ABTG_BreakingBand_H4,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H4,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,2,1,0.42851,0.42851,3,3,6.1068,-187.15,6.1068,-187.15,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H4/scan_ABTG_BreakingBand_H4_XAGUSD.csv
BreakingBand,XPTUSD,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.42826,0.43437,6,5,1.9488,-82.57,1.9286,-80.54,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_XPTUSD.csv
SupertrendReversal,E35EUR,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,94,84,0.42677,4.4825,10,9,0.5934,-32.21,0.5679,194.01,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_E35EUR.csv
SupertrendReversal,XPDUSD,H1,H1_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,90,62,0.42617,4306.33333,9,2,57.6952,-2873.48,22.414,4133.12,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC/scan_ABTG_SupertrendReversal_H1_XPDUSD.csv
CostToCost,XPTUSD,H1,scan_h1,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,9,9,0.42268,0.54671,243,468,59.772,-5940.47,73.8792,-7370.08,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1/scan_ABTG_CostToCost_XPTUSD.csv
EMA200,EURPLN,H1,risultati_scan_ABTG_EMA200_H1,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,83,83,0.42257,0.56889,1134,539,79.1804,-7824.57,29.8938,-2598.82,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1/scan_ABTG_EMA200_H1_EURPLN.csv
BreakingBand,CADCHF,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.41664,1.67519,19,8,4.4888,-383.74,1.1123,74.96,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_CADCHF.csv
EasyTrend,XPDUSD,H1,scan,backtest_pipeline/risultati_prove/ABTG_EasyTrend/scan,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,6,6,0.41487,0.55918,96,78,32.9204,-3275.66,21.0237,-1733.88,backtest_pipeline/risultati_prove/ABTG_EasyTrend/scan/scan_ABTG_EasyTrend_XPDUSD.csv
BreakingBand,CADCHF,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.4132,0.94359,28,14,6.3758,-530.7,1.4057,-14.97,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_CADCHF.csv
