Finestra,Simbolo,DataOra,Close
SOLARE,EURUSD,2025.01.27 02:00,1.04729
SOLARE,EURUSD,2025.01.27 03:00,1.04629
SOLARE,EURUSD,2025.01.27 04:00,1.04660
SOLARE,EURUSD,2025.01.27 05:00,1.04685
SOLARE,EURUSD,2025.01.27 06:00,1.04634
SOLARE,EURUSD,2025.01.27 07:00,1.04630
SOLARE,EURUSD,2025.01.27 08:00,1.04592
SOLARE,EURUSD,2025.01.27 09:00,1.04572
SOLARE,EURUSD,2025.01.27 10:00,1.04880
SOLARE,EURUSD,2025.01.27 11:00,1.04888
SOLARE,EURUSD,2025.01.27 12:00,1.05054
SOLARE,EURUSD,2025.01.27 13:00,1.05131
SOLARE,EURUSD,2025.01.27 14:00,1.05213
SOLARE,EURUSD,2025.01.27 15:00,1.05200
SOLARE,EURUSD,2025.01.27 16:00,1.05092
SOLARE,EURUSD,2025.01.27 17:00,1.04991
SOLARE,EURUSD,2025.01.27 18:00,1.04910
SOLARE,EURUSD,2025.01.27 19:00,1.04888
SOLARE,EURUSD,2025.01.27 20:00,1.04849
SOLARE,EURUSD,2025.01.27 21:00,1.04927
SOLARE,EURUSD,2025.01.27 22:00,1.04881
SOLARE,EURUSD,2025.01.27 23:00,1.04917
SOLARE,EURUSD,2025.01.28 00:00,1.04886
SOLARE,EURUSD,2025.01.28 01:00,1.04371
SOLARE,EURUSD,2025.01.28 02:00,1.04455
SOLARE,EURUSD,2025.01.28 03:00,1.04379
SOLARE,EURUSD,2025.01.28 04:00,1.04337
SOLARE,EURUSD,2025.01.28 05:00,1.04293
SOLARE,EURUSD,2025.01.28 06:00,1.04337
SOLARE,EURUSD,2025.01.28 07:00,1.04365
SOLARE,EURUSD,2025.01.28 08:00,1.04376
SOLARE,EURUSD,2025.01.28 09:00,1.04342
SOLARE,EURUSD,2025.01.28 10:00,1.04252
SOLARE,EURUSD,2025.01.28 11:00,1.04352
SOLARE,EURUSD,2025.01.28 12:00,1.04248
SOLARE,EURUSD,2025.01.28 13:00,1.04232
SOLARE,EURUSD,2025.01.28 14:00,1.04204
SOLARE,EURUSD,2025.01.28 15:00,1.04250
SOLARE,EURUSD,2025.01.28 16:00,1.04315
SOLARE,EURUSD,2025.01.28 17:00,1.04241
SOLARE,EURUSD,2025.01.28 18:00,1.04263
SOLARE,EURUSD,2025.01.28 19:00,1.04279
SOLARE,EURUSD,2025.01.28 20:00,1.04265
SOLARE,EURUSD,2025.01.28 21:00,1.04351
SOLARE,EURUSD,2025.01.28 22:00,1.04316
SOLARE,EURUSD,2025.01.28 23:00,1.04307
SOLARE,EURUSD,2025.01.29 00:00,1.04286
SOLARE,EURUSD,2025.01.29 01:00,1.04272
SOLARE,EURUSD,2025.01.29 02:00,1.04303
SOLARE,EURUSD,2025.01.29 03:00,1.04273
SOLARE,EURUSD,2025.01.29 04:00,1.04339
SOLARE,EURUSD,2025.01.29 05:00,1.04375
SOLARE,EURUSD,2025.01.29 06:00,1.04387
SOLARE,EURUSD,2025.01.29 07:00,1.04404
SOLARE,EURUSD,2025.01.29 08:00,1.04373
SOLARE,EURUSD,2025.01.29 09:00,1.04162
SOLARE,EURUSD,2025.01.29 10:00,1.04243
SOLARE,EURUSD,2025.01.29 11:00,1.04039
SOLARE,EURUSD,2025.01.29 12:00,1.04038
SOLARE,EURUSD,2025.01.29 13:00,1.04017
SOLARE,EURUSD,2025.01.29 14:00,1.04041
SOLARE,EURUSD,2025.01.29 15:00,1.03878
SOLARE,EURUSD,2025.01.29 16:00,1.04011
SOLARE,EURUSD,2025.01.29 17:00,1.04195
SOLARE,EURUSD,2025.01.29 18:00,1.04158
SOLARE,EURUSD,2025.01.29 19:00,1.04213
SOLARE,EURUSD,2025.01.29 20:00,1.04198
SOLARE,EURUSD,2025.01.29 21:00,1.04163
SOLARE,EURUSD,2025.01.29 22:00,1.04105
SOLARE,EURUSD,2025.01.29 23:00,1.04199
SOLARE,EURUSD,2025.01.30 00:00,1.04210
SOLARE,EURUSD,2025.01.30 01:00,1.04245
SOLARE,EURUSD,2025.01.30 02:00,1.04260
SOLARE,EURUSD,2025.01.30 03:00,1.04201
