Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
16,1635.96,9.34834,1.71223,4.10344,25.22368,3.6217,175,0,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
36,1501.75,8.88609,1.68470,3.95270,24.90125,3.4908,169,0,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
22,-2111.42,-18.36017,0.67606,-0.75616,-5.00000,26.5565,115,2,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
27,-782.71,-5.36103,0.85875,-0.38325,-5.00000,19.0822,146,3,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
7,-649.14,-4.24275,0.88722,-0.33971,-5.00000,17.7925,153,3,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
32,1154.08,6.78871,1.54132,3.11417,20.55904,3.4773,170,0,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
2,-2653.30,-22.11083,0.61127,-0.79858,-5.00000,31.5993,120,2,1.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
12,1325.55,7.53153,1.58710,2.79387,22.08702,4.3700,176,0,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
17,692.16,4.16964,1.11101,0.64934,6.67720,9.7798,166,1,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
37,647.99,4.04994,1.10631,0.67441,6.44403,8.8153,160,1,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
23,-1125.42,-7.98170,0.77952,-0.59703,-5.00000,17.8567,141,3,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
18,-2039.65,-16.31720,0.76425,-0.57451,-5.00000,32.4544,125,2,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
28,886.77,5.18579,1.42845,2.19172,17.06660,3.8451,171,0,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
8,1069.09,6.04006,1.49060,2.13698,19.25177,4.6951,177,0,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
3,-1230.93,-8.31709,0.76840,-0.61835,-5.00000,18.8574,148,3,1.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
33,410.98,2.56863,1.06941,0.34994,4.52786,10.8072,160,1,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
38,-1900.75,-16.24573,0.77253,-0.56267,-5.00000,30.8806,117,2,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
13,358.31,2.15849,1.05924,0.25798,3.82841,12.7805,166,1,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
19,-1053.29,-6.66639,0.82720,-0.39650,-5.00000,24.6837,158,3,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
24,781.14,4.43830,1.40780,2.69025,17.34720,2.7924,176,0,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
29,161.89,1.03115,1.02803,0.10880,2.04257,13.7633,157,1,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
4,914.94,5.02714,1.45601,2.40476,19.06940,3.6308,182,0,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
34,-2730.63,-23.14093,0.65447,-0.72756,-5.00000,35.0311,118,2,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
9,-61.45,-0.37470,0.98948,-0.03524,-0.75017,16.1277,164,1,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
14,-2789.67,-22.14024,0.65950,-0.72072,-5.00000,36.1284,126,2,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
39,-745.73,-4.97153,0.87364,-0.27713,-5.00000,25.0036,150,3,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
