Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
28,-27.93,-0.15262,0.98834,-0.05011,-0.54658,5.4579,183,0,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
23,-1048.37,-6.85209,0.80603,-0.59290,-5.00000,17.3292,153,3,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
8,59.04,0.31914,1.02307,0.10935,1.09010,5.2397,185,0,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
4,78.87,0.41511,1.03159,0.15764,1.61465,4.8464,190,0,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
34,-2513.79,-19.18924,0.71213,-0.69192,-5.00000,34.6481,131,2,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
14,-1603.28,-11.96478,0.82074,-0.53607,-5.00000,28.5231,134,2,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
19,-1664.59,-10.21221,0.74484,-0.68326,-5.00000,23.5343,163,3,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
39,-2159.10,-13.49438,0.66580,-0.81086,-5.00000,25.7224,160,3,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
24,102.75,0.54365,1.04440,0.20332,2.21059,4.9306,189,0,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
29,-1236.02,-7.53671,0.79152,-0.58341,-5.00000,20.8769,164,1,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
9,-783.54,-4.72012,0.87015,-0.46495,-5.00000,16.6060,166,1,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
