Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpUseVolumeFilter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
15,-246.62,-1.95730,0.96991,-0.11504,-1.97050,18.5605,126,3,1.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
3,-1424.75,-8.33187,0.87072,-0.55532,-5.00000,23.0291,171,3,1.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
21,1437.85,11.41151,1.15007,0.51355,7.42561,21.6872,126,1,2.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
33,1252.16,7.32257,1.09115,0.42999,4.90489,22.1904,171,1,2.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
45,1437.85,11.41151,1.15007,0.51355,7.42561,21.6872,126,1,2.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
9,1252.16,7.32257,1.09115,0.42999,4.90489,22.1904,171,1,2.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
27,-1424.75,-8.33187,0.87072,-0.55532,-5.00000,23.0291,171,3,1.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
39,-246.62,-1.95730,0.96991,-0.11504,-1.97050,18.5605,126,3,1.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
22,-631.64,-5.01302,0.95266,-0.12608,-3.79466,35.9997,126,2,2.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
10,-2393.49,-13.99702,0.86722,-0.35455,-5.00000,47.0201,171,2,2.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
