Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpEntryMode,InpTrailFixedPts,InpUseVolumeFilter,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
3,-3676.03,-8.35461,0.70520,-0.88130,-5.00000,39.7437,440,3,100,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
63,-3676.03,-8.35461,0.70520,-0.88130,-5.00000,39.7437,440,3,300,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
51,-3676.03,-8.35461,0.70520,-0.88130,-5.00000,39.7437,440,3,100,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
28,37.26,0.20816,1.00724,0.02244,0.24591,14.6588,179,4,500,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
40,37.26,0.20816,1.00724,0.02244,0.24591,14.6588,179,4,700,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
88,619.91,5.16592,1.19714,0.68455,5.65586,8.1222,120,4,700,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
76,619.91,5.16592,1.19714,0.68455,5.65586,8.1222,120,4,500,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
16,37.26,0.20816,1.00724,0.02244,0.24591,14.6588,179,4,300,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
4,37.26,0.20816,1.00724,0.02244,0.24591,14.6588,179,4,100,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
64,619.91,5.16592,1.19714,0.68455,5.65586,8.1222,120,4,300,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
52,619.91,5.16592,1.19714,0.68455,5.65586,8.1222,120,4,100,1,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
29,71.31,0.16244,1.00575,0.02974,0.20351,19.5762,439,5,500,0,8,0,15,17,30,1,1,0,16385,60,200,15,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1.5,20,0,20,1,1,770101,0,1
