"macchina";"terminale";"giorno";"ora_locale";"conto";"ticket";"evento";"tipo";"volume";"simbolo";"prezzo";"ordine_rif"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:04:45";"50503392";"2482639";"ESEGUITO";"buy";"0.02";"XAUUSD";"4043.19";"2814014"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:04:45";"50503392";"2482638";"ESEGUITO";"buy";"0.02";"XAUUSD";"4043.19";"2814009"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:07:26";"50503392";"2482885";"ESEGUITO";"sell";"0.02";"XAUUSD";"4033.56";"2814275"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:07:26";"50503392";"2482884";"ESEGUITO";"sell";"0.02";"XAUUSD";"4033.54";"2814274"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:09:11";"50503392";"2482907";"ESEGUITO";"sell";"0.02";"XAUUSD";"4033.54";"2814297"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:18:39";"50503392";"2483329";"ESEGUITO";"buy";"0.4";"USOIL";"80.470";"2814716"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:25:44";"50503392";"2483817";"ESEGUITO";"sell";"0.4";"USOIL";"80.770";"2815208"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:46:21";"50503392";"2815839";"PIAZZATO";"sell stop";"0.01";"XAUUSD";"3999.73";"2815839"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:46:55";"50503392";"2815885";"PIAZZATO";"sell";"0.01";"XAUUSD";"4008.75";"2815885"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:46:55";"50503392";"2484473";"ESEGUITO";"sell";"0.01";"XAUUSD";"4008.75";"2815885"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:47:46";"50503392";"2816027";"PIAZZATO";"sell stop";"0.01";"XAUUSD";"3999.71";"2816027"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:47:58";"50503392";"2484645";"ESEGUITO";"sell";"0.01";"XAUUSD";"3999.71";"2816027"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:47:58";"50503392";"2484644";"ESEGUITO";"sell";"0.01";"XAUUSD";"3999.73";"2815839"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:47:58";"50503392";"2484643";"ESEGUITO";"buy";"0.01";"XAUUSD";"3999.83";"2816056"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"15:02:38";"50503392";"2485126";"ESEGUITO";"buy";"0.01";"XAUUSD";"3985.58";"2816543"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"15:24:22";"50503392";"2485741";"ESEGUITO";"buy";"0.01";"XAUUSD";"3998.45";"2817164"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"16:55:28";"50503392";"2488616";"ESEGUITO";"sell";"0.4";"USOIL";"79.730";"2819968"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"16:55:28";"50503392";"2488615";"ESEGUITO";"sell";"0.4";"USOIL";"79.730";"2819963"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"16:55:28";"50503392";"2488614";"ESEGUITO";"sell";"0.4";"USOIL";"79.730";"2819962"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:04:55";"50503392";"2820210";"PIAZZATO";"buy stop";"0.3";"USOIL";"24837.300";"2820210"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:05:26";"50503392";"2820219";"PIAZZATO";"buy stop";"0.3";"USOIL";"24837.300";"2820219"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:05:59";"50503392";"2820231";"PIAZZATO";"buy stop";"0.3";"USOIL";"24837.300";"2820231"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:06:16";"50503392";"2820210";"ANNULLATO";"buy stop";"0.3";"USOIL";"";"2820210"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:06:23";"50503392";"2820219";"ANNULLATO";"buy stop";"0.3";"USOIL";"";"2820219"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:06:27";"50503392";"2820231";"ANNULLATO";"buy stop";"0.3";"USOIL";"";"2820231"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:07:08";"50503392";"2820245";"PIAZZATO";"buy stop";"0.3";"D30EUR";"24837.30";"2820245"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:07:34";"50503392";"2820252";"PIAZZATO";"buy stop";"0.3";"D30EUR";"24837.30";"2820252"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:07:48";"50503392";"2820257";"PIAZZATO";"buy stop";"0.3";"D30EUR";"24837.30";"2820257"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:08:42";"50503392";"2488789";"ESEGUITO";"buy";"0.3";"D30EUR";"24837.30";"2820257"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:08:42";"50503392";"2488788";"ESEGUITO";"buy";"0.3";"D30EUR";"24837.30";"2820252"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:08:42";"50503392";"2488787";"ESEGUITO";"buy";"0.3";"D30EUR";"24837.30";"2820245"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"17:34:58";"50503392";"2489378";"ESEGUITO";"sell";"0.3";"D30EUR";"24907.40";"2820858"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"18:20:23";"50503392";"2489982";"ESEGUITO";"sell";"0.3";"D30EUR";"24834.80";"2821500"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"18:20:28";"50503392";"2489985";"ESEGUITO";"buy";"0.4";"USOIL";"80.320";"2821503"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"18:20:28";"50503392";"2489984";"ESEGUITO";"buy";"0.4";"USOIL";"80.320";"2821502"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"18:20:28";"50503392";"2489983";"ESEGUITO";"buy";"0.4";"USOIL";"80.320";"2821501"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"18:20:53";"50503392";"2489989";"ESEGUITO";"sell";"0.3";"D30EUR";"24833.20";"2821507"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"19:25:49";"50503392";"2491115";"ESEGUITO";"sell";"0.01";"XAUUSD";"3983.41";"2822656"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"19:25:49";"50503392";"2491114";"ESEGUITO";"sell";"0.01";"XAUUSD";"3983.37";"2822652"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"19:25:50";"50503392";"2491116";"ESEGUITO";"sell";"0.01";"XAUUSD";"3982.96";"2822655"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"05:19:12";"50503392";"2503267";"ESEGUITO";"buy";"0.01";"XAUUSD";"4000.48";"2834962"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"05:19:12";"50503392";"2503266";"ESEGUITO";"buy";"0.01";"XAUUSD";"4000.48";"2834961"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"05:19:12";"50503392";"2503265";"ESEGUITO";"buy";"0.01";"XAUUSD";"4000.48";"2834960"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"07:19:35";"50503392";"2503824";"ESEGUITO";"sell";"0.03";"XAUUSD";"3976.47";"2835527"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"07:41:35";"50503392";"2504168";"ESEGUITO";"buy";"0.03";"XAUUSD";"3987.95";"2835883"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:00:01";"50503392";"2509549";"ESEGUITO";"sell";"0.03";"XAUUSD";"3964.00";"2841401"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:00:01";"50503392";"2509548";"ESEGUITO";"sell";"0.03";"XAUUSD";"3964.00";"2841386"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:04:52";"50503392";"2509658";"ESEGUITO";"buy";"0.03";"XAUUSD";"3975.94";"2841541"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:04:53";"50503392";"2509660";"ESEGUITO";"buy";"0.03";"XAUUSD";"3976.00";"2841543"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:39:30";"50503392";"2510421";"ESEGUITO";"buy";"0.5";"XAUUSD";"4002.86";"2842353"
"DESKTOP-H4D7CAJ";"215D85D7";"20260717";"15:40:31";"50503392";"2510465";"ESEGUITO";"sell";"0.5";"XAUUSD";"3986.36";"2842397"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"08:02:40";"50503392";"2515526";"ESEGUITO";"sell";"0.3";"D30EUR";"24767.90";"2847555"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"08:03:43";"50503392";"2515528";"ESEGUITO";"sell";"0.3";"D30EUR";"24767.00";"2847559"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"08:04:32";"50503392";"2515532";"ESEGUITO";"sell";"0.3";"D30EUR";"24767.00";"2847564"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:00:22";"50503392";"2515728";"ESEGUITO";"buy";"2.7";"D30EUR";"24761.10";"2847862"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:01:35";"50503392";"2515758";"ESEGUITO";"buy";"0.3";"D30EUR";"24783.50";"2847887"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:01:35";"50503392";"2515757";"ESEGUITO";"buy";"0.3";"D30EUR";"24783.50";"2847886"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:01:35";"50503392";"2515756";"ESEGUITO";"buy";"0.3";"D30EUR";"24783.20";"2847884"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:23:01";"50503392";"2515981";"ESEGUITO";"buy";"1.4";"D30EUR";"24800.60";"2848061"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:23:02";"50503392";"2515983";"ESEGUITO";"sell";"1.3";"D30EUR";"24800.10";"2848151"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:44:52";"50503392";"2516356";"ESEGUITO";"sell";"0.6";"D30EUR";"24876.70";"2848570"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:44:52";"50503392";"2516355";"ESEGUITO";"sell";"1.4";"D30EUR";"24876.60";"2848569"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:45:37";"50503392";"2516373";"ESEGUITO";"buy";"2.4";"D30EUR";"24892.20";"2847812"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:50:10";"50503392";"2516447";"ESEGUITO";"sell";"0.8";"D30EUR";"24846.80";"2848665"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"09:50:10";"50503392";"2516446";"ESEGUITO";"sell";"2.4";"D30EUR";"24847.60";"2848664"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"12:18:00";"50503392";"2517702";"ESEGUITO";"sell";"0.6";"D30EUR";"24860.70";"2849981"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"12:39:16";"50503392";"2517805";"ESEGUITO";"buy";"0.2";"D30EUR";"24839.00";"2850099"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"12:47:12";"50503392";"2850119";"PIAZZATO";"sell";"1";"D30EUR";"24824.30";"2850119"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"12:47:12";"50503392";"2517819";"ESEGUITO";"sell";"1";"D30EUR";"24824.30";"2850119"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"12:57:42";"50503392";"2517876";"ESEGUITO";"buy";"0.4";"D30EUR";"24860.70";"2850193"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"13:04:47";"50503392";"2517926";"ESEGUITO";"buy";"1";"D30EUR";"24878.00";"2850261"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:18:12";"50503392";"2851448";"PIAZZATO";"sell stop";"0.02";"XAUUSD";"4010.83";"2851448"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:19:28";"50503392";"2851455";"PIAZZATO";"sell stop";"0.02";"XAUUSD";"4010.83";"2851455"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:20:08";"50503392";"2519075";"ESEGUITO";"sell";"0.02";"XAUUSD";"4010.83";"2851455"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:20:08";"50503392";"2519074";"ESEGUITO";"sell";"0.02";"XAUUSD";"4010.83";"2851448"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:20:32";"50503392";"2851473";"PIAZZATO";"sell stop";"0.02";"XAUUSD";"4010.83";"2851473"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"14:21:14";"50503392";"2519084";"ESEGUITO";"sell";"0.02";"XAUUSD";"4010.83";"2851473"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:29:58";"50503392";"2852301";"PIAZZATO";"sell stop";"1.1";"NASUSD";"28804.00";"2852301"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:29:58";"50503392";"2852300";"PIAZZATO";"buy stop";"1.1";"NASUSD";"28898.30";"2852300"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:30:02";"50503392";"2519819";"ESEGUITO";"buy";"2.1";"NASUSD";"28887.90";"2852307"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:30:49";"50503392";"2519835";"ESEGUITO";"buy";"1.1";"NASUSD";"28890.90";"2852308"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:31:00";"50503392";"";"FALLITO";"cancel order #2852311 buy 0  at market [Invalid request]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:31:00";"50503392";"2852312";"ANNULLATO";"sell stop";"1";"NASUSD";"";"2852312"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:31:00";"50503392";"2519843";"ESEGUITO";"buy";"1.1";"NASUSD";"28898.30";"2852300"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:35:33";"50503392";"2852496";"PIAZZATO";"sell";"0.5";"NASUSD";"28969.60";"2852496"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:35:33";"50503392";"2520000";"ESEGUITO";"sell";"0.5";"NASUSD";"28969.60";"2852496"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:35:59";"50503392";"2520012";"ESEGUITO";"sell";"1";"NASUSD";"28949.90";"2852509"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:35:59";"50503392";"2520011";"ESEGUITO";"sell";"0.6";"NASUSD";"28950.30";"2852508"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:37:53";"50503392";"2520090";"ESEGUITO";"sell";"1.1";"NASUSD";"28984.90";"2852588"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:39:03";"50503392";"2520111";"ESEGUITO";"sell";"1.1";"NASUSD";"28968.60";"2852608"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"15:57:19";"50503392";"2520455";"ESEGUITO";"sell";"1.1";"NASUSD";"28833.90";"2852310"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"16:10:05";"50503392";"2520664";"ESEGUITO";"buy";"0.02";"XAUUSD";"3999.60";"2853195"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"16:15:02";"50503392";"2520748";"ESEGUITO";"buy";"0.5";"NASUSD";"28785.70";"2853278"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"16:21:19";"50503392";"2520823";"ESEGUITO";"buy";"0.6";"NASUSD";"28739.90";"2853352"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"17:03:05";"50503392";"2853931";"PIAZZATO";"sell stop";"1.7";"D30EUR";"24729.90";"2853931"
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"17:03:05";"50503392";"";"FALLITO";"buy stop 1.7 D30EUR at 24797.80 sl: 24729.90 tp: 25001.50 [Invalid price]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260720";"18:29:58";"50503392";"";"FALLITO";"cancel order #2853931 buy 0  at market [Invalid request]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260721";"02:36:27";"50503392";"2524904";"ESEGUITO";"buy";"0.02";"XAUUSD";"4022.05";"2857965"
"DESKTOP-H4D7CAJ";"215D85D7";"20260721";"02:36:27";"50503392";"2524903";"ESEGUITO";"buy";"0.02";"XAUUSD";"4022.05";"2857964"
"DESKTOP-H4D7CAJ";"215D85D7";"20260721";"05:36:09";"50503392";"2525460";"ESEGUITO";"sell";"0.5";"XAUUSD";"4044.59";"2859037"
"DESKTOP-H4D7CAJ";"215D85D7";"20260721";"05:39:33";"50503392";"2525462";"ESEGUITO";"buy";"0.5";"XAUUSD";"4044.46";"2859039"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"08:02:59";"50503392";"2539589";"ESEGUITO";"buy";"0.79";"GBPUSD";"1.33895";"2873971"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"08:18:34";"50503392";"2539617";"ESEGUITO";"sell";"0.79";"GBPUSD";"1.33815";"2874013"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"08:59:59";"50503392";"2539849";"ESEGUITO";"buy";"3.3";"D30EUR";"24982.60";"2874285"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:14:58";"50503392";"2874465";"PIAZZATO";"sell stop";"2.1";"NASUSD";"28885.90";"2874465"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:14:58";"50503392";"2874464";"PIAZZATO";"buy stop";"2.1";"NASUSD";"28936.60";"2874464"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:15:11";"50503392";"2874465";"ANNULLATO";"sell stop";"2.1";"NASUSD";"";"2874465"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:15:11";"50503392";"2539995";"ESEGUITO";"buy";"2.1";"NASUSD";"28936.60";"2874464"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:19:06";"50503392";"2540020";"ESEGUITO";"sell";"2.1";"NASUSD";"28945.00";"2874487"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:19:06";"50503392";"";"FALLITO";"cancel order #2874487 sell 2.1 NASUSD at 28945.00000 [Invalid request]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"09:27:44";"50503392";"2540169";"ESEGUITO";"sell";"3.3";"D30EUR";"25080.70";"2874629"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"10:04:54";"50503392";"2540921";"ESEGUITO";"buy";"0.2";"D30EUR";"25132.90";"2875413"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"10:04:54";"50503392";"2540920";"ESEGUITO";"buy";"0.1";"D30EUR";"25132.90";"2875412"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:30:00";"50503392";"2545236";"ESEGUITO";"buy";"3";"NASUSD";"28939.90";"2879989"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:30:00";"50503392";"2545235";"ESEGUITO";"buy";"1.6";"NASUSD";"28942.90";"2879985"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:37:41";"50503392";"2545509";"ESEGUITO";"sell";"0.8";"NASUSD";"28994.40";"2880253"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:42:33";"50503392";"2545591";"ESEGUITO";"sell";"1.5";"NASUSD";"29011.70";"2880340"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:42:33";"50503392";"2545590";"ESEGUITO";"sell";"0.8";"NASUSD";"29011.50";"2880339"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:47:05";"50503392";"2545721";"ESEGUITO";"sell";"1.5";"NASUSD";"29029.90";"2880469"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"15:58:52";"50503392";"2545914";"ESEGUITO";"sell";"0.01";"XAUUSD";"4152.57";"2873217"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"19:19:59";"50503392";"2883753";"PIAZZATO";"buy";"0.1";"NASUSD";"29143.80";"2883753"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"19:19:59";"50503392";"2548910";"ESEGUITO";"buy";"0.1";"NASUSD";"29143.80";"2883753"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"20:48:12";"50503392";"2884145";"PIAZZATO";"sell";"0.1";"NASUSD";"29079.70";"2884145"
"DESKTOP-H4D7CAJ";"215D85D7";"20260722";"20:48:12";"50503392";"2549300";"ESEGUITO";"sell";"0.1";"NASUSD";"29079.70";"2884145"
"DESKTOP-H4D7CAJ";"215D85D7";"20260723";"18:21:12";"50503392";"";"FALLITO";"sell stop 0.8 D30EUR at 24892.80 sl: 25016.20 tp: 24522.60 [Invalid price]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260723";"18:21:12";"50503392";"2895478";"PIAZZATO";"buy stop";"0.8";"D30EUR";"25016.20";"2895478"
