Pass,Simbolo,Periodo,Attraversamenti Grezzi Long,Attraversamenti Grezzi Short,Attraversamenti Eseguibili Long,Attraversamenti Eseguibili Short,Giorni Contati,Eseguibili Al Giorno Long,Eseguibili Al Giorno Short,Eseguibili Al Giorno Totale,Grezzi Al Giorno Totale,C1 Esito,Mfe Mediana Long Punti Indice,Mfe Mediana Short Punti Indice,Mae Mediana Long Punti Indice,Mae Mediana Short Punti Indice,Rr Da Mediane Long,Rr Da Mediane Short,Win Rate Necessario Long Pct,Win Rate Necessario Short Pct,Mfe Su Spread Long,Mfe Su Spread Short,Spread Misurato Punti Indice,Soglia C3 Punti Indice,C3 Esito Long,C3 Esito Short,C5 Esito Long,C5 Esito Short,Chiuse Long,Chiuse Short,Convergute Long,Convergute Short,Non Convergute Long Pct,Non Convergute Short Pct,Non Convergute Totale Pct,Uscite Fine Sessione Long,Uscite Fine Sessione Short,Uscite Tetto Barre Long,Uscite Tetto Barre Short,Uscite Fine Corsa Escluse,C6 Esito,Max Eseguibili Giorno Long,Max Eseguibili Giorno Short,Max Eseguibili Giorno Totale,Rischio Aperto Max Pct,C7 Cap Necessario,Giorni Almeno 2 Eseguibili,Giorni Zero Eseguibili,Tenuta Mediana Long Barre,Tenuta Mediana Short Barre,Tenuta Mediana Totale Barre,Sotto 60 Secondi Pct,C8 Esito,Mfe Orizzonte Mediana Long,Mfe Orizzonte Mediana Short,Mae Orizzonte Mediana Long,Mae Orizzonte Mediana Short,Movimento Orizzonte Mediano Long,Movimento Orizzonte Mediano Short,Orizzonte Completo Long,Orizzonte Completo Short,Orizzonte Incompleto Long,Orizzonte Incompleto Short,Barre Valutate,Barre Fuori Finestra,Barre Saltate Dati,Valutazioni Metro Mancante Segnale,Valutazioni Perse Buco Finestra,Valutazioni Con Solo Metro,Barre Senza Z Con Posizione Aperta,Z Non Calcolabile,Giorni Spaiati,Giorni Spaiati Pct,C2 Esito,Attraversamenti Ingresso Fuori Finestra,Attraversamenti Prima Barra Sessione,Occupato Stesso Lato Long,Occupato Stesso Lato Short,Scartati Occupato Altro Lato Collaudo,Atr Mediano Punti Indice,Atr Divergenza Rel Media Pct,Punto Indice Prezzo,Metro Prima Barra Epoch,Gamba Prima Barra Epoch,Campioni Troncati,Autotest Falliti,Autotest Blocchi,Finestra N,Soglia Ingresso Sigma,Soglia Uscita Sigma,Modo Spread,Modo Z Score,Barre Max Tenuta,Barre Orizzonte,Lato Attivo,Giorni Festa Metro,Giorni Metro Zero Calendario,Ingressi Barra Reale Fuori,Chiuse Zero Barre,InpFinestraN,InpSogliaIngressoSigma,InpSimboloMetro,InpModoSpread,InpModoZScore,InpSogliaUscitaSigma,InpOraInizioServer,InpMinInizioServer,InpOraFineServer,InpMinFineServer,InpBarreMaxTenuta,InpBarreOrizzonte,InpLato,InpPuntiPerIndice,InpAtrPeriod,InpAtrModoRma,InpWarmupBarre,InpConfrontaMT5,InpScriviCsv,InpVerbose,InpAutoTest,InpTag
46,D30EUR,PERIOD_M5,1303,1419,731,758,441,1.658,1.719,3.376,6.172,1,23.500,25.500,22.500,22.700,1.0444,1.1233,52.58,50.63,8.393,9.107,2.80,8.40,2,2,1,1,731,758,599,597,18.06,21.24,19.68,132,161,0,0,0,2,6,6,10,6.50,1,431,5,13.00,12.00,13.00,0.00,2,38.300,40.200,38.500,35.500,5.900,-1.100,593,596,138,162,38760,77154,0,1057,194,9,689,0,57,12.93,0,22,87,561,650,0,18.1500,0.0000,1.00000,1727367000,1727367000,0,0,25,40,1.350,0.050,0,0,120,24,0,2,0,20,0,40,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
68,D30EUR,PERIOD_M5,942,997,538,527,441,1.220,1.195,2.415,4.397,1,28.950,27.500,25.750,27.100,1.1243,1.0148,50.61,53.36,10.339,9.821,2.80,8.40,2,2,1,1,538,527,418,375,22.30,28.84,25.54,120,152,0,0,0,1,5,3,6,3.90,1,382,9,17.50,17.00,17.00,0.00,2,43.150,39.000,37.000,37.000,10.550,-2.500,446,423,92,104,38760,77154,0,1057,194,9,513,0,57,12.93,0,15,77,399,460,0,18.4643,0.0000,1.00000,1727367000,1727367000,0,0,25,50,1.650,0.050,0,0,120,24,0,2,0,10,0,50,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
25,D30EUR,PERIOD_M5,1622,1725,913,954,441,2.070,2.163,4.234,7.590,1,21.000,20.500,21.000,23.700,1.0000,0.8650,53.75,57.64,7.500,7.321,2.80,8.40,2,2,1,1,913,954,774,787,15.22,17.51,16.39,139,167,0,0,0,2,6,7,10,6.50,1,435,5,12.00,11.00,11.00,0.00,1,35.000,37.600,37.250,37.200,4.900,-4.900,728,734,185,220,38760,77154,0,1057,191,9,592,0,57,12.93,0,34,98,692,754,0,18.1357,0.0000,1.00000,1727367000,1727367000,0,0,25,35,1.050,0.050,0,0,120,24,0,2,0,29,0,35,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
3,D30EUR,PERIOD_M5,2112,2170,1342,1422,441,3.043,3.224,6.268,9.710,1,18.500,19.000,16.550,17.900,1.1178,1.0615,50.76,52.15,6.607,6.786,2.80,8.40,2,2,1,1,1342,1422,1199,1269,10.66,10.76,10.71,143,153,0,0,0,2,8,9,14,9.10,1,434,4,8.00,8.00,8.00,0.00,1,37.000,37.800,36.250,36.400,4.000,-5.000,1022,1081,320,341,38760,77154,0,1057,150,9,626,0,57,12.93,0,50,111,744,724,0,17.9964,0.0000,1.00000,1727367000,1727367000,0,0,25,25,0.750,0.050,0,0,120,24,0,2,0,39,0,25,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
47,D30EUR,PERIOD_M5,1259,1357,676,686,441,1.533,1.556,3.088,5.932,1,26.850,25.000,23.100,27.050,1.1623,0.9242,49.71,55.87,9.589,8.929,2.80,8.40,2,2,1,1,676,686,543,535,19.67,22.01,20.85,133,151,0,0,0,2,6,5,9,5.85,1,423,5,14.00,14.00,14.00,0.00,2,39.400,39.500,38.400,35.500,7.500,-3.150,545,564,131,122,38760,77154,0,1057,194,9,572,0,57,12.93,0,26,84,570,658,0,18.1107,0.0000,1.00000,1727367000,1727367000,0,0,25,45,1.350,0.050,0,0,120,24,0,2,0,22,0,45,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
69,D30EUR,PERIOD_M5,915,943,501,495,441,1.136,1.122,2.259,4.213,1,30.100,27.500,25.500,26.900,1.1804,1.0223,49.30,53.16,10.750,9.821,2.80,8.40,2,2,1,1,501,495,379,339,24.35,31.52,27.91,122,156,0,0,0,1,4,3,6,3.90,1,371,11,18.00,17.00,18.00,0.00,2,42.600,36.600,36.400,39.650,10.600,-1.750,403,386,98,109,38760,77154,0,1057,194,28,418,0,62,14.06,0,16,69,405,441,0,18.3357,0.0000,1.00000,1727367000,1727367000,0,0,25,55,1.650,0.050,0,0,120,24,0,2,0,11,0,55,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
4,D30EUR,PERIOD_M5,1904,1990,1197,1253,441,2.714,2.841,5.556,8.830,1,20.000,19.500,18.500,20.500,1.0811,0.9512,51.66,55.09,7.143,6.964,2.80,8.40,2,2,1,1,1197,1253,1050,1078,12.28,13.97,13.14,147,175,0,0,0,2,8,9,13,8.45,1,435,4,9.00,9.00,9.00,0.00,1,37.000,36.900,37.700,36.500,4.500,-4.500,927,957,270,296,38760,77154,0,1057,173,9,682,0,57,12.93,0,41,105,681,722,0,18.0286,0.0000,1.00000,1727367000,1727367000,0,0,25,30,0.750,0.050,0,0,120,24,0,2,0,35,0,30,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
26,D30EUR,PERIOD_M5,1518,1631,834,863,441,1.891,1.957,3.848,7.141,1,22.000,23.300,22.550,22.500,0.9756,1.0356,54.41,52.81,7.857,8.321,2.80,8.40,2,2,1,1,834,863,691,687,17.15,20.39,18.80,143,176,0,0,0,2,6,6,10,6.50,1,428,5,12.00,12.00,12.00,0.00,2,35.650,38.000,38.500,35.900,4.150,-2.700,670,677,164,186,38760,77154,0,1057,194,9,705,0,57,12.93,0,40,94,659,753,0,18.1071,0.0000,1.00000,1727367000,1727367000,0,0,25,40,1.050,0.050,0,0,120,24,0,2,0,35,0,40,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
48,D30EUR,PERIOD_M5,1205,1246,615,628,441,1.395,1.424,2.819,5.558,1,25.900,25.200,25.500,28.150,1.0157,0.8952,53.33,56.72,9.250,9.000,2.80,8.40,2,2,1,1,615,628,483,467,21.46,25.64,23.57,132,161,0,0,0,2,5,4,8,5.20,1,416,5,16.00,16.00,16.00,0.00,2,38.950,38.500,38.500,36.600,7.350,-2.500,506,525,109,103,38760,77154,0,1057,194,9,515,0,57,12.93,0,18,77,580,610,0,18.2286,0.0000,1.00000,1727367000,1727367000,0,0,25,50,1.350,0.050,0,0,120,24,0,2,0,13,0,50,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
70,D30EUR,PERIOD_M5,1669,1714,1426,1459,441,3.234,3.308,6.542,7.671,1,14.500,14.200,13.600,14.200,1.0662,1.0000,52.03,53.75,5.179,5.071,2.80,8.40,1,1,1,1,1426,1459,1371,1390,3.86,4.73,4.30,55,69,0,0,0,2,8,7,11,7.15,1,436,3,5.00,5.00,5.00,0.00,1,34.800,34.000,34.100,34.400,4.350,-4.900,1092,1057,334,402,38760,77154,0,1057,60,9,340,0,57,12.93,0,44,122,218,236,0,17.2000,0.0000,1.00000,1727367000,1727367000,0,0,25,10,1.800,0.050,0,0,120,24,0,2,0,35,0,10,1.80,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
5,D30EUR,PERIOD_M5,1750,1866,1050,1098,441,2.381,2.490,4.871,8.200,1,20.500,20.050,19.700,21.000,1.0406,0.9548,52.68,54.99,7.321,7.161,2.80,8.40,2,2,1,1,1050,1098,903,920,14.00,16.21,15.13,147,178,0,0,0,2,6,7,11,7.15,1,433,5,10.00,10.00,10.00,0.00,1,36.100,37.950,37.050,37.000,5.500,-4.650,836,850,214,248,38760,77154,0,1057,191,9,662,0,57,12.93,0,48,96,674,746,0,18.2000,0.0000,1.00000,1727367000,1727367000,0,0,25,35,0.750,0.050,0,0,120,24,0,2,0,43,0,35,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
27,D30EUR,PERIOD_M5,1427,1491,785,790,441,1.780,1.791,3.571,6.617,1,23.800,23.500,22.500,23.650,1.0578,0.9937,52.24,53.92,8.500,8.393,2.80,8.40,2,2,1,1,785,790,642,621,18.22,21.39,19.81,143,169,0,0,0,2,6,5,10,6.50,1,424,5,13.00,13.00,13.00,0.00,2,37.900,38.700,40.800,34.500,5.700,-1.100,641,634,144,156,38760,77154,0,1057,194,9,722,0,57,12.93,0,30,96,627,686,0,18.2143,0.0000,1.00000,1727367000,1727367000,0,0,25,45,1.050,0.050,0,0,120,24,0,2,0,24,0,45,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
71,D30EUR,PERIOD_M5,1458,1536,1105,1184,441,2.506,2.685,5.190,6.789,1,18.000,17.500,16.200,18.050,1.1111,0.9695,50.92,54.58,6.429,6.250,2.80,8.40,2,2,1,1,1105,1184,1050,1102,4.98,6.93,5.99,55,82,0,0,0,2,6,6,10,6.50,1,437,3,7.00,7.00,7.00,0.00,1,37.000,34.700,34.500,36.500,6.500,-3.600,842,875,263,309,38760,77154,0,1057,90,9,439,0,57,12.93,0,31,114,342,332,0,17.4571,0.0000,1.00000,1727367000,1727367000,0,0,25,15,1.800,0.050,0,0,120,24,0,2,0,23,0,15,1.80,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
49,D30EUR,PERIOD_M5,1150,1151,565,583,441,1.281,1.322,2.603,5.218,1,29.500,26.000,26.000,27.100,1.1346,0.9594,50.36,54.86,10.536,9.286,2.80,8.40,2,2,1,1,565,583,434,414,23.19,28.99,26.13,131,169,0,0,0,1,4,4,8,5.20,1,406,5,18.00,17.00,18.00,0.00,2,40.000,36.050,37.000,36.600,9.600,-2.000,467,468,98,115,38760,77154,0,1057,194,28,457,0,62,14.06,0,14,74,575,564,0,18.2679,0.0000,1.00000,1727367000,1727367000,0,0,25,55,1.350,0.050,0,0,120,24,0,2,0,9,0,55,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
6,D30EUR,PERIOD_M5,1583,1671,949,1009,441,2.152,2.288,4.440,7.379,1,20.500,20.500,21.500,20.800,0.9535,0.9856,55.03,54.14,7.321,7.321,2.80,8.40,2,2,1,1,949,1009,795,815,16.23,19.23,17.77,154,194,0,0,0,2,6,6,11,7.15,1,430,5,11.00,10.00,10.00,0.00,1,36.400,37.950,38.200,35.250,6.000,-1.550,761,770,188,239,38760,77154,0,1057,194,9,753,0,57,12.93,0,40,97,611,645,0,18.3321,0.0000,1.00000,1727367000,1727367000,0,0,25,40,0.750,0.050,0,0,120,24,0,2,0,35,0,40,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
28,D30EUR,PERIOD_M5,1328,1384,707,711,441,1.603,1.612,3.215,6.150,1,26.400,25.400,24.500,27.500,1.0776,0.9236,51.74,55.88,9.429,9.071,2.80,8.40,2,2,1,1,707,711,570,536,19.38,24.61,22.00,137,175,0,0,0,2,5,5,10,6.50,1,415,5,14.00,15.00,14.00,0.00,2,38.200,37.950,40.500,36.300,6.500,-2.550,586,592,121,119,38760,77154,0,1057,194,9,573,0,57,12.93,0,25,80,606,663,0,18.6143,0.0000,1.00000,1727367000,1727367000,0,0,25,50,1.050,0.050,0,0,120,24,0,2,0,20,0,50,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
72,D30EUR,PERIOD_M5,1320,1399,917,967,441,2.079,2.193,4.272,6.166,1,19.900,19.000,18.900,20.000,1.0529,0.9500,52.36,55.13,7.107,6.786,2.80,8.40,2,2,1,1,917,967,839,861,8.51,10.96,9.77,78,106,0,0,0,2,5,5,8,5.20,1,436,4,9.00,9.00,9.00,0.00,1,36.400,34.000,36.400,35.850,4.900,-3.200,704,712,213,255,38760,77154,0,1057,120,9,492,0,57,12.93,0,24,102,396,415,0,17.2929,0.0000,1.00000,1727367000,1727367000,0,0,25,20,1.800,0.050,0,0,120,24,0,2,0,18,0,20,1.80,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
50,D30EUR,PERIOD_M5,2558,2604,1972,2006,441,4.472,4.549,9.020,11.705,1,13.900,14.500,13.600,13.600,1.0221,1.0662,53.16,52.03,4.964,5.179,2.80,8.40,1,1,1,1,1972,2006,1888,1902,4.26,5.18,4.73,84,104,0,0,0,2,8,9,15,9.75,1,438,3,5.00,5.00,5.00,0.00,1,34.100,35.450,34.100,33.200,4.000,-4.800,1495,1480,477,526,38760,77154,0,1057,60,9,532,0,57,12.93,0,67,140,550,567,0,17.3036,0.0000,1.00000,1727367000,1727367000,0,0,25,10,1.500,0.050,0,0,120,24,0,2,0,56,0,10,1.50,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
73,D30EUR,PERIOD_M5,1199,1242,800,806,441,1.814,1.828,3.642,5.535,1,20.850,22.000,20.000,22.550,1.0425,0.9756,52.63,54.41,7.446,7.857,2.80,8.40,2,2,1,1,800,806,704,700,12.00,13.15,12.58,96,106,0,0,0,2,5,5,7,4.55,1,429,5,11.00,11.00,11.00,0.00,1,38.000,37.300,37.100,37.250,7.300,-2.600,609,596,191,210,38760,77154,0,1057,150,9,401,0,57,12.93,0,24,99,388,423,0,17.6429,0.0000,1.00000,1727367000,1727367000,0,0,25,25,1.800,0.050,0,0,120,24,0,2,0,17,0,25,1.80,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
7,D30EUR,PERIOD_M5,1500,1576,885,923,441,2.007,2.093,4.100,6.975,1,22.400,23.000,22.300,22.500,1.0045,1.0222,53.63,53.16,8.000,8.214,2.80,8.40,2,2,1,1,885,923,732,740,17.29,19.83,18.58,153,183,0,0,0,2,7,6,11,7.15,1,424,5,11.00,12.00,11.00,0.00,1,37.250,37.300,39.600,35.500,4.300,-2.700,724,731,161,192,38760,77154,0,1057,194,9,736,0,57,12.93,0,35,98,595,638,0,18.5036,0.0000,1.00000,1727367000,1727367000,0,0,25,45,0.750,0.050,0,0,120,24,0,2,0,30,0,45,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
