Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLBufferPts,InpSlippagePts,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
10,38271.02,321.60521,1.61729,3.22682,26.74091,9.9499,119,0,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
11,32154.51,270.20597,1.55641,3.13196,25.28838,8.7432,119,500,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
12,27457.18,230.73261,1.53251,2.89743,23.94627,8.1324,119,1000,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
13,26197.91,220.15050,1.55536,2.98348,24.86293,7.6099,119,1500,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
14,26179.51,219.99588,1.60897,3.30608,26.45304,6.9207,119,2000,100,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
15,36958.61,310.57655,1.59191,3.03920,25.96573,10.2086,119,0,150,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
16,31266.38,262.74269,1.53872,3.01549,24.69572,8.8315,119,500,150,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
17,26562.03,223.21034,1.51111,2.79369,23.21485,8.1606,119,1000,150,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
18,25752.39,216.40664,1.54477,2.92101,24.48939,7.6415,119,1500,150,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
19,25785.34,216.68353,1.59868,3.24167,26.10648,6.9528,119,2000,150,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
20,35755.10,300.46303,1.56971,2.90824,25.20496,10.3352,119,0,200,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
21,30854.49,259.28143,1.53241,2.93882,24.34624,8.9171,119,500,200,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
22,25783.09,216.66462,1.49421,2.69865,22.59673,8.2039,119,1000,200,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
23,25348.36,213.01143,1.53661,2.87799,24.15662,7.6369,119,1500,200,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
24,28209.30,237.05294,1.66639,3.54788,27.93776,6.9528,119,2000,200,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
