Data Ora;Impatto;Valuta;Titolo
2013.06.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.06.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.06.14 12:30;High;USD;USD1330OKF PPI m/m
2013.07.12 12:30;High;USD;USD1330OKF PPI m/m
2013.07.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.07.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.07.31 12:30;High;USD;USD1330OKR Advance GDP q/q
2013.08.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.08.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.08.14 12:30;High;USD;USD1330OKF PPI m/m
2013.09.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.09.13 12:30;High;USD;USD1330OKF PPI m/m
2013.09.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.10.29 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2013.10.29 12:30;High;USD;USD1330DSTF PPI m/m
2013.10.29 12:30;High;USD;USD1330DSTF Retail Sales m/m
2013.11.07 13:30;High;USD;USD1330OKR Advance GDP q/q
2013.11.20 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.11.20 13:30;High;USD;USD1330OKF Retail Sales m/m
2013.11.21 13:30;High;USD;USD1330OKF PPI m/m
2013.12.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.12.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2013.12.13 13:30;High;USD;USD1330OKF PPI m/m
2014.01.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.01.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2014.01.15 13:30;High;USD;USD1330OKF PPI m/m
2014.01.30 13:30;High;USD;USD1330OKR Advance GDP q/q
2014.02.13 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.02.13 13:30;High;USD;USD1330OKF Retail Sales m/m
2014.02.19 13:30;High;USD;USD1330OKF PPI m/m
2014.03.13 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2014.03.13 12:30;High;USD;USD1330DSTF Retail Sales m/m
2014.03.14 12:30;High;USD;USD1330DSTF PPI m/m
2014.04.11 12:30;High;USD;USD1330OKF PPI m/m
2014.04.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.04.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.04.30 12:30;High;USD;USD1330OKR Advance GDP q/q
2014.05.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.05.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.05.14 12:30;High;USD;USD1330OKF PPI m/m
2014.06.12 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.06.12 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.06.13 12:30;High;USD;USD1330OKF PPI m/m
2014.07.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.07.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.07.16 12:30;High;USD;USD1330OKF PPI m/m
2014.07.30 12:30;High;USD;USD1330OKR Advance GDP q/q
2014.08.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.08.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.08.15 12:30;High;USD;USD1330OKF PPI m/m
2014.08.19 12:30;High;USD;USD1330OKF CPI m/m
2014.09.12 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.09.12 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.09.16 12:30;High;USD;USD1330OKF PPI m/m
2014.09.17 12:30;High;USD;USD1330OKF CPI m/m
2014.10.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.10.15 12:30;High;USD;USD1330OKF PPI m/m
2014.10.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2014.10.22 12:30;High;USD;USD1330OKF CPI m/m
2014.10.30 12:30;High;USD;USD1330DSTR Advance GDP q/q
2014.11.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.11.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2014.11.18 13:30;High;USD;USD1330OKF PPI m/m
2014.11.20 13:30;High;USD;USD1330OKF CPI m/m
2014.12.11 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2014.12.11 13:30;High;USD;USD1330OKF Retail Sales m/m
2014.12.12 13:30;High;USD;USD1330OKF PPI m/m
2014.12.17 13:30;High;USD;USD1330OKF CPI m/m
2015.01.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.01.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2015.01.15 13:30;High;USD;USD1330OKF PPI m/m
2015.01.16 13:30;High;USD;USD1330OKF CPI m/m
2015.01.30 13:30;High;USD;USD1330OKR Advance GDP q/q
2015.02.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.02.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2015.02.18 13:30;High;USD;USD1330OKF PPI m/m
2015.02.26 13:30;High;USD;USD1330OKF CPI m/m
2015.03.12 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2015.03.12 12:30;High;USD;USD1330DSTF Retail Sales m/m
2015.03.13 12:30;High;USD;USD1330DSTF PPI m/m
2015.03.24 12:30;High;USD;USD1330DSTF CPI m/m
2015.04.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.04.14 12:30;High;USD;USD1330OKF PPI m/m
2015.04.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.04.17 12:30;High;USD;USD1330OKF CPI m/m
2015.04.29 12:30;High;USD;USD1330OKR Advance GDP q/q
2015.05.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.05.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.05.14 12:30;High;USD;USD1330OKF PPI m/m
2015.05.22 12:30;High;USD;USD1330OKF CPI m/m
2015.06.11 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.06.11 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.06.12 12:30;High;USD;USD1330OKF PPI m/m
2015.06.18 12:30;High;USD;USD1330OKF CPI m/m
2015.07.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.07.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.07.15 12:30;High;USD;USD1330OKF PPI m/m
2015.07.17 12:30;High;USD;USD1330OKF CPI m/m
2015.07.30 12:30;High;USD;USD1330OKR Advance GDP q/q
2015.08.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.08.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.08.14 12:30;High;USD;USD1330OKF PPI m/m
2015.08.19 12:30;High;USD;USD1330OKF CPI m/m
2015.09.11 12:30;High;USD;USD1330OKF PPI m/m
2015.09.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.09.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.09.16 12:30;High;USD;USD1330OKF CPI m/m
2015.10.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.10.14 12:30;High;USD;USD1330OKF PPI m/m
2015.10.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2015.10.15 12:30;High;USD;USD1330OKF CPI m/m
2015.10.29 12:30;High;USD;USD1330DSTR Advance GDP q/q
2015.11.13 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.11.13 13:30;High;USD;USD1330OKF PPI m/m
2015.11.13 13:30;High;USD;USD1330OKF Retail Sales m/m
2015.11.17 13:30;High;USD;USD1330OKF CPI m/m
2015.12.11 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2015.12.11 13:30;High;USD;USD1330OKF PPI m/m
2015.12.11 13:30;High;USD;USD1330OKF Retail Sales m/m
2015.12.15 13:30;High;USD;USD1330OKF CPI m/m
2016.01.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.01.15 13:30;High;USD;USD1330OKF PPI m/m
2016.01.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2016.01.20 13:30;High;USD;USD1330OKF CPI m/m
2016.01.29 13:30;High;USD;USD1330OKR Advance GDP q/q
2016.02.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.02.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2016.02.17 13:30;High;USD;USD1330OKF PPI m/m
2016.02.19 13:30;High;USD;USD1330OKF CPI m/m
2016.03.15 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2016.03.15 12:30;High;USD;USD1330DSTF PPI m/m
2016.03.15 12:30;High;USD;USD1330DSTF Retail Sales m/m
2016.03.16 12:30;High;USD;USD1330DSTF CPI m/m
2016.04.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.04.13 12:30;High;USD;USD1330OKF PPI m/m
2016.04.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.04.14 12:30;High;USD;USD1330OKF CPI m/m
2016.04.28 12:30;High;USD;USD1330OKR Advance GDP q/q
2016.05.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.05.13 12:30;High;USD;USD1330OKF PPI m/m
2016.05.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.05.17 12:30;High;USD;USD1330OKF CPI m/m
2016.06.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.06.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.06.15 12:30;High;USD;USD1330OKF PPI m/m
2016.06.16 12:30;High;USD;USD1330OKF CPI m/m
2016.07.14 12:30;High;USD;USD1330OKF PPI m/m
2016.07.15 12:30;High;USD;USD1330OKF CPI m/m
2016.07.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.07.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.07.29 12:30;High;USD;USD1330OKR Advance GDP q/q
2016.08.12 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.08.12 12:30;High;USD;USD1330OKF PPI m/m
2016.08.12 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.08.16 12:30;High;USD;USD1330OKF CPI m/m
2016.09.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.09.15 12:30;High;USD;USD1330OKF PPI m/m
2016.09.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.09.16 12:30;High;USD;USD1330OKF CPI m/m
2016.10.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.10.14 12:30;High;USD;USD1330OKF PPI m/m
2016.10.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2016.10.18 12:30;High;USD;USD1330OKF CPI m/m
2016.10.28 12:30;High;USD;USD1330OKR Advance GDP q/q
2016.11.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.11.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2016.11.16 13:30;High;USD;USD1330OKF PPI m/m
2016.11.17 13:30;High;USD;USD1330OKF CPI m/m
2016.12.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2016.12.14 13:30;High;USD;USD1330OKF PPI m/m
2016.12.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2016.12.15 13:30;High;USD;USD1330OKF CPI m/m
2017.01.13 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.01.13 13:30;High;USD;USD1330OKF PPI m/m
2017.01.13 13:30;High;USD;USD1330OKF Retail Sales m/m
2017.01.18 13:30;High;USD;USD1330OKF CPI m/m
2017.01.27 13:30;High;USD;USD1330OKR Advance GDP q/q
2017.02.14 13:30;High;USD;USD1330OKF PPI m/m
2017.02.15 13:30;High;USD;USD1330OKF CPI m/m
2017.02.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.02.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2017.03.14 12:30;High;USD;USD1330DSTF PPI m/m
2017.03.15 12:30;High;USD;USD1330DSTF CPI m/m
2017.03.15 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2017.03.15 12:30;High;USD;USD1330DSTF Retail Sales m/m
2017.04.13 12:30;High;USD;USD1330OKF PPI m/m
2017.04.14 12:30;High;USD;USD1330OKF CPI m/m
2017.04.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.04.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.04.28 12:30;High;USD;USD1330OKR Advance GDP q/q
2017.05.11 12:30;High;USD;USD1330OKF PPI m/m
2017.05.12 12:30;High;USD;USD1330OKF CPI m/m
2017.05.12 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.05.12 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.06.13 12:30;High;USD;USD1330OKF PPI m/m
2017.06.14 12:30;High;USD;USD1330OKF CPI m/m
2017.06.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.06.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.07.13 12:30;High;USD;USD1330OKF PPI m/m
2017.07.14 12:30;High;USD;USD1330OKF CPI m/m
2017.07.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.07.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.07.28 12:30;High;USD;USD1330OKR Advance GDP q/q
2017.08.10 12:30;High;USD;USD1330OKF PPI m/m
2017.08.11 12:30;High;USD;USD1330OKF CPI m/m
2017.08.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.08.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.09.13 12:30;High;USD;USD1330OKF PPI m/m
2017.09.14 12:30;High;USD;USD1330OKF CPI m/m
2017.09.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.09.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.10.12 12:30;High;USD;USD1330OKF PPI m/m
2017.10.13 12:30;High;USD;USD1330OKF CPI m/m
2017.10.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.10.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2017.10.27 12:30;High;USD;USD1330OKR Advance GDP q/q
2017.11.14 13:30;High;USD;USD1330OKF PPI m/m
2017.11.15 13:30;High;USD;USD1330OKF CPI m/m
2017.11.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.11.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2017.12.12 13:30;High;USD;USD1330OKF PPI m/m
2017.12.13 13:30;High;USD;USD1330OKF CPI m/m
2017.12.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2017.12.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2018.01.11 13:30;High;USD;USD1330OKF PPI m/m
2018.01.12 13:30;High;USD;USD1330OKF CPI m/m
2018.01.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2018.01.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2018.01.26 13:30;High;USD;USD1330OKR Advance GDP q/q
2018.02.14 13:30;High;USD;USD1330OKF CPI m/m
2018.02.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2018.02.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2018.02.15 13:30;High;USD;USD1330OKF PPI m/m
2018.03.13 12:30;High;USD;USD1330DSTF CPI m/m
2018.03.14 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2018.03.14 12:30;High;USD;USD1330DSTF PPI m/m
2018.03.14 12:30;High;USD;USD1330DSTF Retail Sales m/m
2018.04.10 12:30;High;USD;USD1330OKF PPI m/m
2018.04.11 12:30;High;USD;USD1330OKF CPI m/m
