Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpDelayMinutes,InpDelayDirMode,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
728,3929.27,26.91281,1.61048,0.98318,7.33170,3.8097,146,45,15,2,700,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
343,340.66,3.91563,1.12065,0.11538,1.81524,2.8871,87,40,30,0,400,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
283,-12252.22,-58.34390,0.36150,-0.79934,-5.00000,14.9066,210,40,45,1,300,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
435,318.39,3.57742,1.07831,0.13094,1.68191,2.3887,89,20,15,0,500,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
505,3958.69,30.45146,2.29844,1.34392,9.24867,2.8668,130,10,15,2,500,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
281,-12252.22,-58.34390,0.36150,-0.79934,-5.00000,14.9066,210,30,45,1,300,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
178,-10635.98,-51.38155,0.29997,-0.85420,-5.00000,12.2558,207,55,45,1,200,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
132,-11536.85,-126.77857,0.11306,-0.97119,-5.00000,11.8443,91,5,45,0,200,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
336,340.66,3.91563,1.12065,0.11538,1.81524,2.8871,87,5,30,0,400,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
407,2858.13,21.98562,1.94478,1.19617,7.55461,2.3171,130,60,15,2,400,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
