Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpBufferPoints,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
29,-577.03,-9.45951,0.74948,-0.24671,-5.00000,2.3043,61,30,300,100,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
198,1661.98,25.18152,1.59833,0.63800,6.63011,2.5580,66,35,100,500,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
68,-1655.54,-26.27841,0.60706,-0.43190,-5.00000,3.7686,63,45,200,200,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
115,-1039.16,-16.49460,0.75477,-0.30357,-5.00000,3.3584,63,40,200,300,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
140,-1372.75,-22.14113,0.60772,-0.44377,-5.00000,3.0533,62,45,400,300,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
273,-2501.07,-38.47800,0.61478,-0.72310,-5.00000,3.4544,65,50,300,600,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
150,2178.11,33.50938,2.11822,1.17403,9.87700,1.8268,65,35,100,400,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
288,2268.42,33.35912,1.81077,0.94133,7.97939,2.3666,68,5,100,700,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
43,-1081.65,-17.44597,0.60731,-0.43668,-5.00000,2.4485,62,40,400,100,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
267,-2501.07,-38.47800,0.61478,-0.72310,-5.00000,3.4544,65,20,300,600,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
