idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
270;SHORT;-1.00;UP;1080;1780;460;1.13;0.29;13
271;SHORT;2.00;UP;1550;570;6210;0.28;3.03;26
272;LONG;0.91;UP;1720;1750;2930;0.79;1.32;75
273;LONG;-0.36;UP;2100;1310;440;0.50;0.17;57
274;LONG;1.30;UP;1080;1070;2080;0.68;1.32;72
275;SHORT;-1.00;UP;1380;1960;640;1.04;0.34;33
276;LONG;-1.00;UP;1100;1730;200;1.08;0.13;11
277;LONG;-1.00;UP;2500;3110;1780;1.04;0.59;66
278;SHORT;0.34;UP;2060;2150;3490;0.84;1.36;72
279;LONG;-1.00;UP;700;1750;1070;1.46;0.89;8
280;LONG;-1.00;DOWN;640;1410;240;1.24;0.21;8
281;SHORT;-1.00;DOWN;1040;1680;420;1.09;0.27;3
282;SHORT;2.00;DOWN;500;170;2260;0.17;2.26;6
283;LONG;-1.00;DOWN;750;2000;250;1.60;0.20;9
284;SHORT;-1.00;UP;420;1160;0;1.26;0.00;4
285;LONG;-1.00;UP;580;1260;490;1.17;0.45;9
286;SHORT;2.00;UP;350;190;1810;0.22;2.13;10
287;SHORT;2.00;UP;1330;650;4540;0.36;2.48;20
288;LONG;-1.00;DOWN;1250;2250;750;1.29;0.43;9
289;SHORT;-1.00;DOWN;1270;2770;950;1.56;0.54;9
290;SHORT;-1.00;DOWN;1220;2620;710;1.52;0.41;1
291;SHORT;-1.00;DOWN;1020;1900;1350;1.25;0.89;8
292;LONG;-1.00;DOWN;2690;3600;2120;1.13;0.66;28
293;SHORT;-1.00;DOWN;1560;2630;3920;1.28;1.90;25
294;SHORT;-1.00;DOWN;600;1200;620;1.09;0.56;5
295;SHORT;-1.00;UP;1460;2280;3720;1.16;1.90;19
296;LONG;2.00;UP;650;1000;2350;0.87;2.04;19
297;LONG;2.00;UP;660;930;2750;0.80;2.37;30
298;LONG;-1.00;UP;570;1100;330;1.03;0.31;10
299;SHORT;2.00;UP;350;0;3540;0.00;4.16;1
300;LONG;-1.00;UP;730;1370;740;1.11;0.60;6
301;SHORT;-1.00;UP;1530;2790;170;1.37;0.08;9
302;LONG;-1.00;UP;480;1360;0;1.39;0.00;4
303;SHORT;-1.00;UP;800;1380;170;1.06;0.13;6
304;SHORT;-1.00;UP;750;1480;1460;1.18;1.17;47
305;LONG;-1.00;UP;780;2130;70;1.66;0.05;5
306;LONG;-1.00;UP;340;1030;300;1.23;0.36;7
307;LONG;-1.00;UP;230;1480;440;2.03;0.60;9
308;SHORT;0.35;DOWN;2180;1480;4630;0.55;1.73;74
309;LONG;-1.00;DOWN;570;1150;130;1.07;0.12;6
310;LONG;-0.25;DOWN;2680;2790;3200;0.88;1.01;70
311;LONG;2.00;DOWN;920;1100;3250;0.77;2.29;5
312;LONG;-1.00;UP;410;990;590;1.09;0.65;8
313;SHORT;-1.00;UP;1330;2400;0;1.31;0.00;7
314;LONG;2.00;UP;300;300;1680;0.38;2.10;22
315;LONG;-1.00;UP;480;1260;550;1.29;0.56;6
316;SHORT;-1.00;UP;330;1420;1120;1.71;1.35;10
317;LONG;-1.00;UP;530;1270;430;1.23;0.42;5
318;LONG;-1.00;DOWN;590;1480;430;1.36;0.39;9
319;SHORT;-1.00;UP;310;880;830;1.09;1.02;2
320;LONG;2.00;UP;540;0;2290;0.00;2.20;7
321;SHORT;-1.00;UP;300;1290;230;1.61;0.29;9
322;LONG;-1.00;UP;470;970;530;1.00;0.55;6
323;SHORT;-1.00;UP;630;1350;1020;1.19;0.90;7
324;SHORT;-1.00;UP;1410;2700;1530;1.41;0.80;14
325;LONG;2.00;UP;340;0;1840;0.00;2.19;1
326;SHORT;0.45;UP;2820;1030;2130;0.31;0.64;62
327;SHORT;2.00;UP;1040;1280;3850;0.83;2.50;24
328;LONG;-1.00;UP;780;1480;1410;1.16;1.10;64
329;LONG;-1.00;UP;630;1150;390;1.02;0.35;6
330;SHORT;-1.00;DOWN;810;1380;660;1.05;0.50;22
331;LONG;-1.00;DOWN;1730;2360;2680;1.06;1.20;48
332;LONG;2.00;DOWN;700;370;3230;0.31;2.69;4
333;LONG;-1.00;UP;610;2200;850;1.98;0.77;12
334;SHORT;-1.00;UP;600;1150;0;1.05;0.00;5
335;LONG;2.00;UP;670;20;2580;0.02;2.21;10
336;SHORT;-1.00;UP;290;1370;430;1.73;0.54;7
337;LONG;-1.00;UP;430;1160;580;1.25;0.62;8
338;SHORT;2.00;UP;950;750;3150;0.52;2.17;6
339;LONG;-1.00;DOWN;1430;2050;2590;1.06;1.34;35
340;LONG;2.00;DOWN;750;340;2890;0.27;2.31;10
341;SHORT;2.00;UP;560;400;3280;0.38;3.09;10
342;SHORT;2.00;DOWN;1050;1500;3570;0.97;2.30;15
343;SHORT;-1.00;DOWN;1780;2330;2620;1.02;1.15;12
344;LONG;2.00;DOWN;1470;0;3980;0.00;2.02;4
345;SHORT;-1.00;UP;670;1370;1430;1.17;1.22;9
346;LONG;-1.00;UP;1010;1640;2040;1.09;1.35;58
347;LONG;-1.00;UP;2450;3390;1150;1.15;0.39;16
348;SHORT;2.00;UP;1540;590;4850;0.29;2.38;14
349;SHORT;-1.00;DOWN;2630;3330;2600;1.06;0.83;10
350;SHORT;2.00;DOWN;370;80;1790;0.09;2.06;7
351;LONG;2.00;DOWN;550;300;2540;0.29;2.42;8
352;SHORT;-1.00;UP;1530;2300;1320;1.13;0.65;14
353;SHORT;-1.00;DOWN;1590;2420;0;1.16;0.00;3
354;SHORT;-1.00;DOWN;2450;3390;240;1.15;0.08;5
355;LONG;-1.00;UP;850;2250;2600;1.67;1.93;14
356;LONG;-1.00;DOWN;780;1480;170;1.16;0.13;7
357;LONG;2.00;UP;380;200;1880;0.23;2.14;10
358;SHORT;2.00;UP;320;420;1730;0.51;2.11;5
359;SHORT;-1.00;DOWN;1650;3020;150;1.40;0.07;5
360;SHORT;-1.00;DOWN;1180;2900;800;1.73;0.48;7
361;SHORT;-1.00;DOWN;1610;2290;460;1.09;0.22;9
362;LONG;-1.00;DOWN;1230;1850;0;1.07;0.00;1
363;SHORT;-1.00;UP;1570;2220;800;1.07;0.39;8
364;SHORT;-0.35;DOWN;3190;1680;4750;0.46;1.29;75
365;SHORT;-1.00;DOWN;3950;4820;980;1.08;0.22;13
366;SHORT;-1.00;UP;2990;3700;710;1.06;0.20;7
367;SHORT;-1.00;DOWN;1330;3180;750;1.74;0.41;3
368;SHORT;1.31;DOWN;1750;1750;3700;0.78;1.64;75
369;LONG;-1.00;DOWN;3010;4560;0;1.30;0.00;6
370;LONG;-1.00;DOWN;2040;2750;1380;1.08;0.54;31
