idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
416;LONG;-1.00;UP;2010;3490;0;1.39;0.00;3
417;LONG;2.00;UP;2790;870;6590;0.26;2.00;90
418;SHORT;1.50;UP;2400;1140;5420;0.39;1.87;99
419;LONG;2.00;UP;2090;1500;5470;0.58;2.11;58
420;SHORT;-1.00;UP;2390;6100;1580;2.11;0.55;79
421;LONG;-1.00;UP;2260;2830;4760;1.03;1.72;76
422;LONG;-1.00;UP;2580;5370;3060;1.74;0.99;71
423;LONG;-1.00;UP;3640;4310;2400;1.04;0.58;69
424;SHORT;-1.00;UP;1850;2580;350;1.10;0.15;10
425;LONG;1.20;DOWN;4150;0;7290;0.00;1.57;99
426;SHORT;-1.00;UP;2860;5070;370;1.51;0.11;23
427;LONG;0.53;DOWN;5760;1930;6830;0.31;1.09;97
428;LONG;-0.43;DOWN;5160;3850;6440;0.68;1.14;94
429;LONG;-1.00;UP;2320;2870;760;1.02;0.27;13
430;LONG;0.55;DOWN;3380;380;6850;0.10;1.77;99
431;LONG;2.00;UP;1580;2030;5500;0.98;2.64;7
432;SHORT;1.28;UP;5140;810;7300;0.14;1.29;90
433;SHORT;-1.00;UP;1870;2470;10;1.04;0.00;8
434;LONG;-1.00;UP;3080;5330;1730;1.49;0.48;85
435;LONG;-1.00;UP;2560;3660;2530;1.20;0.83;19
436;LONG;-1.00;UP;2760;3330;270;1.02;0.08;30
437;SHORT;-0.14;UP;4380;1870;4450;0.38;0.91;94
438;SHORT;-1.00;DOWN;3550;4410;560;1.09;0.14;25
439;LONG;-1.00;DOWN;1920;3060;0;1.26;0.00;4
440;LONG;2.00;UP;2020;1300;5060;0.52;2.01;76
441;SHORT;2.00;UP;1800;800;4750;0.35;2.07;48
442;SHORT;-1.00;UP;2860;3530;1390;1.05;0.41;62
