idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
150;SHORT;-1.00;UP;14900;16240;7100;1.05;0.46;5
151;SHORT;-1.00;UP;13200;14180;1450;1.04;0.11;10
152;SHORT;-1.00;UP;9000;10500;12500;1.11;1.32;9
153;SHORT;2.00;UP;10300;8550;21990;0.79;2.04;35
154;SHORT;-1.00;UP;15600;17090;10800;1.06;0.67;32
155;LONG;-1.00;UP;11600;12390;7600;1.02;0.63;28
156;SHORT;2.00;UP;8550;7950;18100;0.88;2.00;42
157;LONG;2.00;UP;10700;10500;24780;0.94;2.21;19
158;LONG;2.00;UP;12570;10430;27280;0.80;2.09;56
159;LONG;2.00;UP;14450;0;30530;0.00;2.04;38
160;SHORT;0.27;UP;11700;8640;19730;0.71;1.62;75
161;LONG;-1.00;UP;9900;12180;5450;1.17;0.52;8
162;LONG;-1.00;DOWN;11600;12600;7300;1.04;0.60;10
163;LONG;1.22;DOWN;18750;6150;25500;0.32;1.32;70
164;SHORT;-0.17;UP;7800;6150;8500;0.74;1.02;35
165;LONG;1.80;UP;16070;0;32000;0.00;1.93;69
166;SHORT;2.00;UP;11330;3730;25830;0.32;2.18;60
167;LONG;-1.00;UP;10870;17070;1380;1.50;0.12;3
168;LONG;-1.00;UP;11170;18620;11330;1.60;0.97;32
169;SHORT;2.00;DOWN;9600;450;21600;0.04;2.14;3
170;SHORT;-1.00;UP;12680;15590;6220;1.18;0.47;13
171;SHORT;1.34;UP;9050;6770;14300;0.71;1.50;73
172;SHORT;-1.00;UP;17520;21660;11400;1.20;0.63;18
173;LONG;-1.00;UP;24550;28750;0;1.15;0.00;18
174;SHORT;-1.00;UP;14500;15420;8210;1.03;0.55;34
175;SHORT;-1.00;UP;7250;10360;600;1.34;0.08;11
176;LONG;-1.00;UP;10610;17770;21300;1.60;1.92;53
177;LONG;1.37;DOWN;13850;2750;21940;0.19;1.53;72
178;SHORT;-1.00;DOWN;15300;17210;18100;1.09;1.15;24
179;LONG;0.40;DOWN;12000;5890;20850;0.47;1.67;75
180;LONG;-1.00;DOWN;9840;11770;12360;1.14;1.20;41
181;LONG;-1.00;DOWN;10950;14150;22710;1.24;1.98;62
182;SHORT;-1.20;DOWN;8560;14280;8570;1.58;0.95;39
183;LONG;-1.00;DOWN;14000;14750;0;1.02;0.00;1
184;LONG;-1.00;DOWN;15700;22660;14940;1.40;0.92;33
185;SHORT;-1.00;UP;13700;14430;7150;1.02;0.50;16
186;SHORT;0.50;UP;7750;5810;16460;0.70;2.00;75
187;LONG;0.90;UP;15050;1100;19050;0.07;1.23;66
188;LONG;2.00;UP;10640;1190;22280;0.11;2.00;22
189;SHORT;-1.00;UP;9820;10770;6380;1.04;0.62;20
190;LONG;2.00;UP;14440;0;31540;0.00;2.11;19
191;SHORT;-1.00;UP;16020;17420;0;1.05;0.00;14
192;LONG;0.42;UP;15040;290;18820;0.02;1.21;42
193;LONG;-1.00;UP;4650;5630;2570;1.09;0.50;36
194;SHORT;2.00;UP;12910;2610;27180;0.19;2.03;26
195;LONG;-1.00;UP;10310;13200;2900;1.22;0.27;4
196;LONG;-1.00;UP;10900;15450;4010;1.36;0.35;8
197;LONG;2.00;UP;7800;0;17710;0.00;2.13;10
198;SHORT;-1.00;UP;13750;14560;0;1.02;0.00;7
199;LONG;0.46;DOWN;12510;8500;9860;0.65;0.76;75
200;SHORT;1.25;UP;22400;5720;29180;0.25;1.27;72
201;SHORT;2.00;DOWN;13340;5460;34860;0.39;2.52;22
202;LONG;0.13;DOWN;27940;22770;8730;0.80;0.31;75
203;SHORT;0.63;UP;17410;4690;19200;0.26;1.07;73
204;LONG;-1.00;UP;10590;11750;13990;1.06;1.26;69
205;LONG;0.19;UP;17990;16650;7800;0.90;0.42;75
206;SHORT;-1.00;UP;8890;15690;6400;1.67;0.68;25
207;LONG;2.00;UP;7050;2490;15410;0.33;2.04;13
208;SHORT;-1.00;UP;9100;9950;7290;1.04;0.76;11
209;SHORT;-1.00;UP;9300;10000;3900;1.02;0.40;4
210;SHORT;2.00;UP;9910;5310;20950;0.51;2.01;47
211;SHORT;-1.00;DOWN;8490;9510;5000;1.06;0.56;6
212;LONG;-1.00;DOWN;14900;16150;4150;1.05;0.27;13
213;SHORT;-0.11;DOWN;25950;21860;18150;0.83;0.69;73
214;LONG;1.53;DOWN;16050;50;26780;0.00;1.62;75
215;SHORT;0.22;DOWN;13580;8850;24420;0.63;1.73;73
216;SHORT;-1.00;DOWN;14760;15600;5750;1.02;0.38;12
217;SHORT;2.00;UP;11400;0;27450;0.00;2.31;6
218;LONG;-1.00;DOWN;11550;13400;12900;1.11;1.07;21
219;SHORT;2.00;UP;10200;3560;24590;0.33;2.30;59
220;LONG;1.05;DOWN;16750;0;23470;0.00;1.36;72
221;LONG;1.33;UP;15600;6500;22200;0.40;1.38;75
222;LONG;-1.00;UP;11900;15000;5260;1.21;0.42;26
223;SHORT;0.66;UP;16350;5020;14750;0.30;0.88;75
224;LONG;-1.00;UP;9490;11540;0;1.16;0.00;2
225;LONG;-1.00;UP;14850;16990;11500;1.11;0.75;21
226;SHORT;2.00;UP;9150;0;19800;0.00;2.05;8
227;SHORT;-1.00;UP;11200;18000;0;1.54;0.00;3
228;LONG;2.00;UP;14800;5460;34790;0.36;2.27;3
229;SHORT;2.00;UP;8510;5060;20300;0.56;2.25;66
230;LONG;0.94;UP;9540;9440;12510;0.94;1.25;74
231;LONG;-0.02;UP;17190;8210;7100;0.46;0.40;75
232;SHORT;-1.00;UP;12870;13470;4690;1.01;0.35;37
233;LONG;-1.00;UP;7910;12100;0;1.44;0.00;1
234;LONG;0.86;UP;4460;0;8550;0.00;1.72;39
235;SHORT;-1.00;DOWN;19060;23750;0;1.21;0.00;1
236;SHORT;2.00;DOWN;8750;4410;20040;0.48;2.17;47
237;LONG;1.84;DOWN;15410;11650;31090;0.73;1.95;75
238;SHORT;2.00;UP;15380;730;34320;0.05;2.16;6
239;SHORT;-1.00;UP;15460;17420;1240;1.09;0.08;14
240;SHORT;-1.00;UP;8800;10500;1390;1.13;0.15;5
241;LONG;-1.00;UP;11300;14750;0;1.25;0.00;9
242;LONG;2.00;UP;16550;0;34810;0.00;2.04;11
243;SHORT;1.40;UP;9390;8900;16570;0.90;1.68;75
244;LONG;-1.00;UP;14050;15540;3360;1.07;0.23;19
245;SHORT;-0.09;UP;18450;6150;12040;0.32;0.64;75
246;LONG;-1.00;UP;21930;25250;19550;1.13;0.87;45
247;SHORT;-1.00;UP;11800;15600;0;1.27;0.00;1
248;SHORT;-1.00;UP;18250;19620;0;1.05;0.00;24
249;LONG;2.00;UP;13450;1100;28410;0.08;2.04;69
250;LONG;-1.00;UP;18880;20930;9710;1.08;0.50;26
251;SHORT;2.00;UP;10680;3240;22670;0.29;2.03;25
252;LONG;-1.00;DOWN;18400;22240;5850;1.18;0.31;45
253;LONG;-1.00;DOWN;18050;19000;6810;1.02;0.37;7
254;SHORT;-0.58;UP;20170;14480;5510;0.70;0.27;75
255;LONG;-1.00;UP;7500;8650;3260;1.08;0.41;4
256;LONG;-0.15;DOWN;17430;10960;8960;0.61;0.50;56
257;LONG;-1.00;UP;17100;19850;1500;1.13;0.09;4
258;LONG;2.00;UP;15230;1200;32070;0.08;2.04;30
259;SHORT;0.04;UP;16050;5790;26900;0.35;1.63;75
260;SHORT;2.00;UP;12800;0;29450;0.00;2.21;28
261;LONG;-0.55;UP;24800;15400;7820;0.61;0.31;55
262;SHORT;2.00;UP;11400;0;24070;0.00;2.02;37
263;LONG;-1.00;DOWN;16150;17300;0;1.04;0.00;3
264;LONG;0.40;DOWN;19590;16200;16530;0.81;0.82;73
265;SHORT;-1.00;DOWN;27450;30550;0;1.09;0.00;3
266;LONG;-1.00;UP;16650;19250;11250;1.12;0.66;22
267;LONG;-1.00;UP;10400;11900;0;1.09;0.00;3
268;LONG;-1.00;DOWN;20250;21650;9350;1.04;0.45;16
269;LONG;2.00;UP;10830;10100;23610;0.89;2.08;42
270;LONG;2.00;UP;8290;5700;19260;0.65;2.19;11
271;SHORT;2.00;UP;11720;5960;31650;0.49;2.59;31
272;LONG;-1.00;UP;15550;18500;4800;1.15;0.30;6
273;LONG;0.67;UP;18000;4500;22170;0.24;1.20;75
274;LONG;0.29;UP;14850;14530;4560;0.95;0.30;71
275;SHORT;-1.00;UP;20850;23250;2080;1.09;0.10;39
276;LONG;-1.00;UP;21250;48050;4750;2.21;0.22;58
277;LONG;-0.22;UP;28130;19800;34010;0.69;1.19;75
278;LONG;-1.00;UP;13650;14850;5350;1.05;0.38;22
279;LONG;-1.00;UP;3420;7400;6770;1.89;1.73;7
280;LONG;-1.00;DOWN;5900;19570;1000;3.06;0.16;8
281;LONG;-1.00;DOWN;4200;5500;2350;1.17;0.50;8
282;SHORT;2.00;UP;3280;0;8950;0.00;2.37;2
283;LONG;-1.00;DOWN;2850;4350;1650;1.30;0.49;3
284;SHORT;-1.00;UP;1930;2860;730;1.18;0.30;2
285;LONG;2.00;UP;4010;3020;12520;0.67;2.78;13
286;LONG;2.00;UP;2400;2750;18190;0.95;6.27;8
287;SHORT;-1.00;UP;7950;10830;800;1.28;0.09;5
288;LONG;-1.00;DOWN;6100;25570;6450;3.87;0.98;9
289;SHORT;-1.00;DOWN;5900;7630;4970;1.19;0.78;9
290;SHORT;-1.00;DOWN;9250;14180;12970;1.45;1.33;5
291;SHORT;2.00;DOWN;4250;0;13370;0.00;2.81;7
292;LONG;2.00;DOWN;14700;0;31280;0.00;2.06;20
293;SHORT;2.00;DOWN;6650;6680;18270;0.93;2.56;5
294;SHORT;2.00;DOWN;2660;3100;9520;0.98;3.01;9
295;LONG;2.00;DOWN;7250;0;22480;0.00;2.90;1
296;LONG;2.00;UP;3600;3810;12530;0.93;3.06;10
297;LONG;-1.00;UP;3560;4400;1150;1.08;0.28;21
298;SHORT;-1.00;UP;3800;5310;7920;1.23;1.84;4
299;LONG;-1.00;UP;3080;3810;4960;1.06;1.39;8
300;SHORT;2.00;UP;2770;260;12960;0.08;3.96;1
301;LONG;-1.00;UP;5570;8660;11540;1.43;1.90;6
302;SHORT;-1.00;UP;9180;10050;3200;1.04;0.33;7
303;LONG;-1.00;UP;2900;13910;3990;4.09;1.17;9
304;SHORT;-1.00;UP;4530;18430;1600;3.66;0.32;8
305;SHORT;2.00;DOWN;4500;880;11120;0.18;2.22;10
306;LONG;-1.00;UP;3050;3650;0;1.03;0.00;1
