idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
429;SHORT;-1.00;DOWN;15310;17010;5730;1.08;0.36;15
430;SHORT;2.00;DOWN;16990;1540;35010;0.09;2.00;28
431;SHORT;-1.00;DOWN;18440;20310;6310;1.07;0.33;8
432;LONG;-1.00;DOWN;13330;14330;7260;1.04;0.52;3
433;LONG;-1.00;DOWN;31400;34320;16120;1.08;0.51;17
434;LONG;-1.00;DOWN;13070;17690;26290;1.30;1.94;14
435;SHORT;-1.00;UP;22920;24140;0;1.03;0.00;3
436;LONG;1.05;UP;12300;6200;17930;0.48;1.40;75
437;LONG;-1.00;UP;10840;13210;2560;1.16;0.23;6
438;LONG;-1.00;UP;12920;18400;0;1.37;0.00;2
439;LONG;0.41;UP;21950;15190;15520;0.68;0.69;68
440;LONG;-2.76;UP;4600;4030;2370;0.79;0.46;36
441;LONG;-1.00;UP;16850;18520;3640;1.07;0.21;6
442;LONG;-1.00;DOWN;18490;21240;24850;1.12;1.31;60
443;SHORT;-1.00;DOWN;23580;27640;7270;1.15;0.30;12
444;SHORT;-0.20;UP;44290;16990;44730;0.38;1.00;75
445;LONG;-0.38;DOWN;18780;10480;33780;0.54;1.75;73
446;LONG;-1.00;DOWN;23550;26660;3670;1.11;0.15;3
