Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseTrailing,InpTrailTF,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpTrailMode,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
18,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,200,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
78,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,700,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
30,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,300,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
90,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,800,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
6,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,100,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
42,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,400,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
66,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,600,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
54,-496.89,-1.91112,0.95483,-0.22008,-1.45830,19.2693,260,0,4,500,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
79,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,700,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
31,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,300,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
19,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,200,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
91,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,800,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
7,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,100,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
43,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,400,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
67,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,600,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
55,-1179.22,-4.53546,0.82779,-0.55802,-5.00000,19.3721,260,1,4,500,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,1.5,20,0,20,1,1,770201,0,1
