simbolo,ora_server,campioni,giornate,scartati,overflow,mediana_punti,p95_punti,p99_punti,media_punti,max_punti,mediana_unita,p95_unita,max_unita,unita,punti_per_unita,da_symbol_spread
EURUSD,12,3567,5,0,0,2,4,5,2.54,5,0.200,0.400,0.500,pip,10,0
EURUSD,13,3564,5,0,0,3,4,5,2.66,13,0.300,0.400,1.300,pip,10,0
EURUSD,14,3578,5,0,0,2,4,5,2.53,5,0.200,0.400,0.500,pip,10,0
EURUSD,15,3597,5,0,0,2,4,5,2.58,6,0.200,0.400,0.600,pip,10,0
EURUSD,16,3600,5,0,0,2,4,5,2.60,5,0.200,0.400,0.500,pip,10,0
EURUSD,17,3600,5,0,0,2,4,4,2.17,5,0.200,0.400,0.500,pip,10,0
EURUSD,18,3600,5,0,0,2,4,4,2.20,5,0.200,0.400,0.500,pip,10,0
EURUSD,19,3591,5,6,0,2,4,4,2.16,5,0.200,0.400,0.500,pip,10,0
EURUSD,20,3565,5,29,0,2,4,4,2.21,5,0.200,0.400,0.500,pip,10,0
EURUSD,21,3250,6,128,0,2,4,5,2.63,6,0.200,0.400,0.600,pip,10,0
EURUSD,22,2827,5,160,0,14,31,37,15.55,37,1.400,3.100,3.700,pip,10,0
EURUSD,23,3546,5,53,0,3,6,7,3.41,25,0.300,0.600,2.500,pip,10,0
GBPUSD,0,3599,5,0,0,3,10,10,4.20,10,0.300,1.000,1.000,pip,10,0
GBPUSD,1,3600,5,0,0,3,10,10,4.55,10,0.300,1.000,1.000,pip,10,0
GBPUSD,2,3600,5,0,0,3,10,10,4.54,10,0.300,1.000,1.000,pip,10,0
GBPUSD,3,3600,5,0,0,3,10,10,4.39,16,0.300,1.000,1.600,pip,10,0
GBPUSD,4,3600,5,0,0,3,10,10,4.41,10,0.300,1.000,1.000,pip,10,0
GBPUSD,5,3600,5,0,0,3,10,10,4.38,10,0.300,1.000,1.000,pip,10,0
GBPUSD,6,3585,5,0,0,3,10,10,4.40,10,0.300,1.000,1.000,pip,10,0
GBPUSD,7,3600,5,0,0,3,7,7,3.89,7,0.300,0.700,0.700,pip,10,0
GBPUSD,8,3596,5,0,0,3,7,7,3.89,10,0.300,0.700,1.000,pip,10,0
GBPUSD,9,3596,5,0,0,3,7,7,3.91,7,0.300,0.700,0.700,pip,10,0
GBPUSD,10,3580,5,0,0,3,7,7,3.84,7,0.300,0.700,0.700,pip,10,0
