Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpDelayMinutes,InpDelayDirMode,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpMagic,InpMaxSpread,InpVerbose
839,-18231.71,-108.52208,0.66772,-0.78052,-5.00000,23.3576,168,60,15,2,800,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
432,-12790.72,-110.26483,0.63737,-0.61709,-5.00000,19.8854,116,5,15,0,500,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
641,-7899.12,-112.84457,0.67443,-0.78805,-5.00000,9.8859,70,30,45,2,600,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
573,-331.98,-12.29556,0.93746,-0.10833,-1.83309,3.0151,27,50,45,0,600,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
88,-9230.40,-72.68031,0.76159,-0.67980,-5.00000,13.4507,127,25,30,2,100,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
225,-12794.22,-110.29500,0.63730,-0.61725,-5.00000,19.8862,116,50,15,0,300,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
150,-18829.27,-112.75012,0.66408,-0.82139,-5.00000,22.4722,167,35,15,1,200,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
671,141.42,70.71000,0.00000,0.20299,0.35608,0.6960,2,60,30,0,700,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
857,-7899.12,-112.84457,0.67443,-0.78805,-5.00000,9.8859,70,30,45,2,800,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
726,-18231.71,-108.52208,0.66772,-0.78052,-5.00000,23.3576,168,35,15,2,700,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
480,-3894.45,-31.40685,0.86898,-0.52506,-5.00000,7.2947,124,5,30,1,500,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
724,-18231.71,-108.52208,0.66772,-0.78052,-5.00000,23.3576,168,25,15,2,700,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
773,141.42,70.71000,0.00000,0.20299,0.35608,0.6960,2,30,30,0,800,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
365,-18832.54,-112.76970,0.66404,-0.82153,-5.00000,22.4730,167,30,15,1,400,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
311,-5090.94,-39.16108,0.85364,-0.39546,-5.00000,12.3785,130,60,30,2,300,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
38,-18829.27,-112.75012,0.66408,-0.82139,-5.00000,22.4722,167,15,15,1,100,14,30,21,45,1,1,4,2,16385,60,200,120,1,1,0,0,0,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,1,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,770201,0,1
