Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpOpeningRangeMinutes,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpFinalTargetR,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
37,-4953.81,-67.86041,0.77086,-0.39299,-5.00000,11.7974,73,-1.0027,-4372,-4371.70,10,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
13,-3331.98,-61.70333,0.79664,-0.43865,-5.00000,7.3922,54,-1.0023,-4077,-4076.83,10,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
1,-3711.17,-48.19701,0.83892,-0.34498,-4.61746,10.1268,77,-1.0034,-4412,-4411.58,10,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
7,871.04,17.42080,1.06766,0.20333,1.58597,4.1362,50,-1.0025,-2786,-2786.42,10,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
43,-1347.95,-29.30326,0.88196,-0.24989,-2.41115,5.2626,46,-1.0025,-2741,-2740.97,10,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
31,-5232.28,-90.21172,0.70372,-0.55751,-5.00000,9.1402,58,-1.0035,-4077,-4076.83,10,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
26,3013.85,77.27821,1.37832,0.82917,5.84561,3.4377,39,-0.9990,-2058,-2057.72,15,1.00,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
20,-337.15,-5.26797,0.98047,-0.02943,-0.46964,10.3921,64,-1.0000,-4019,-4019.00,15,0.50,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
14,-767.98,-15.05843,0.94177,-0.10350,-1.16058,7.0146,51,-1.0006,-4019,-4019.00,15,0.75,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
38,226.69,3.33368,1.01310,0.01880,0.26241,10.8269,68,-1.0007,-4019,-4019.00,15,0.50,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
8,3523.07,74.95894,1.36262,1.03189,5.61261,3.3031,47,-1.0009,-3065,-3064.95,15,1.00,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
2,143.76,1.99667,1.00755,0.01285,0.17354,10.1277,72,-1.0008,-4019,-4019.00,15,0.50,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
44,3204.69,74.52767,1.40184,0.75376,4.93754,3.9905,43,-0.9996,-2067,-2067.48,15,1.00,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
32,-2040.09,-37.09255,0.86291,-0.23341,-2.62589,8.2573,55,-1.0006,-4019,-4019.00,15,0.75,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
27,-4795.57,-55.76244,0.80679,-0.48841,-5.00000,9.3651,86,-1.0036,-4198,-4197.57,5,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
15,-1295.97,-26.99938,0.90476,-0.26014,-3.23070,4.8391,48,-1.0035,-2692,-2691.71,5,1.00,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
21,-3889.22,-72.02259,0.76960,-0.51982,-5.00000,7.2741,54,-1.0039,-4717,-4716.79,5,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
39,-5910.24,-101.90069,0.67438,-0.63615,-5.00000,9.0513,58,-1.0041,-3704,-3704.10,5,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
3,-5740.87,-91.12492,0.71410,-0.74474,-5.00000,7.6147,63,-1.0037,-3704,-3704.10,5,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
9,-4377.13,-54.03864,0.80844,-0.50371,-5.00000,8.3448,81,-1.0035,-4207,-4206.84,5,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
33,-2632.45,-49.66887,0.83052,-0.43036,-5.00000,5.9531,53,-1.0034,-2691,-2691.17,5,1.00,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
45,-3444.36,-44.73195,0.84062,-0.36323,-4.88444,8.9578,77,-1.0034,-4231,-4231.19,5,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
28,-4618.59,-59.98169,0.79929,-0.36555,-5.00000,11.7852,77,-1.0037,-4384,-4384.23,10,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
22,-3962.10,-79.24200,0.75772,-0.50434,-5.00000,7.6721,50,-1.0036,-4077,-4076.83,10,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
16,969.84,21.08348,1.08421,0.22611,1.89359,4.1375,46,-1.0037,-2791,-2790.97,10,1.00,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
40,-5582.85,-103.38611,0.65703,-0.59584,-5.00000,9.1573,54,-1.0026,-4077,-4076.83,10,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
4,-3431.71,-59.16741,0.80656,-0.45186,-5.00000,7.3981,58,-1.0033,-4077,-4076.83,10,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
10,-3610.38,-49.45726,0.83351,-0.33569,-4.70197,10.1153,73,-1.0024,-4413,-4412.73,10,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
34,-1000.90,-20.01800,0.92180,-0.18617,-1.65222,5.2286,50,-1.0034,-2750,-2750.06,10,1.00,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
46,-5580.14,-80.87159,0.74154,-0.43370,-5.00000,12.0820,69,-1.0040,-4364,-4363.72,10,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
29,-490.43,-6.81153,0.97424,-0.04078,-0.53452,10.8690,72,-0.9998,-4019,-4019.00,15,0.50,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
23,-1538.60,-32.73617,0.88314,-0.20020,-2.61031,7.2995,47,-1.0009,-4019,-4019.00,15,0.75,1.00,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
17,3782.01,87.95372,1.47333,1.12134,6.43166,3.1746,43,-1.0006,-2067,-2067.48,15,1.00,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
41,-1346.85,-26.40882,0.89775,-0.15369,-1.86636,8.2246,51,-0.9997,-4019,-4019.00,15,0.75,0.75,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
5,-1027.35,-18.67909,0.93111,-0.13858,-1.46648,7.0259,55,-1.0009,-4019,-4019.00,15,0.75,0.50,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
11,427.85,6.29191,1.02473,0.03822,0.54137,10.1098,68,-0.9997,-4019,-4019.00,15,0.50,0.75,2,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
35,2506.67,53.33340,1.25858,0.59051,3.55449,4.0108,47,-1.0007,-3069,-3068.90,15,1.00,0.50,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
47,-535.86,-8.37281,0.96897,-0.04352,-0.67758,11.1034,64,-1.0010,-4019,-4019.00,15,0.50,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
48,-4865.52,-90.10222,0.71153,-0.54481,-5.00000,8.6429,54,-1.0029,-4696,-4695.53,5,0.75,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
49,-6210.39,-124.20780,0.61786,-0.64502,-5.00000,9.4427,50,-1.0039,-4077,-4076.83,10,0.75,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
50,-2108.23,-44.85596,0.83961,-0.23376,-3.24731,8.5034,47,-0.9997,-4019,-4019.00,15,0.75,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
51,-1260.35,-28.64432,0.89762,-0.20708,-3.12057,5.8470,44,-1.0030,-4096,-4095.54,5,1.00,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
52,-1985.83,-47.28167,0.82579,-0.35105,-4.05866,5.5386,42,-1.0038,-2736,-2736.43,10,1.00,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
53,2437.54,62.50103,1.30640,0.53897,4.22607,4.2648,39,-0.9999,-2059,-2059.04,15,1.00,1.00,3,1,1,0,7,30,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,1,774101,30,0,0,GAPCONT
