Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMinimumBuyGapPercent,InpMinimumSellGapPercent,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpOpeningRangeMinutes,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpEnableSellGaps,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpFinalTargetR,InpMoveStopToBreakEven,InpMagicNumber,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment
19,-234.10,-21.28182,0.89135,-0.11391,-0.25864,2.0271,11,-1.0008,-1009,-1008.59,2.00,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
13,1148.13,82.00929,1.37946,0.43232,1.94843,2.5584,14,-0.9994,-1854,-1854.12,1.75,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
10,450.08,16.66963,1.06729,0.11416,0.95299,3.8159,27,-1.0009,-1805,-1805.14,1.00,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
7,1619.86,101.24125,1.53343,0.51037,3.20886,3.0351,16,-0.9993,-1859,-1858.74,1.50,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
16,-3166.47,-211.09800,0.37377,-0.72666,-5.00000,4.3063,15,-0.9996,-2468,-2467.84,1.25,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
22,361.77,45.22125,1.31251,0.17512,0.24908,2.0256,8,-0.9995,-1013,-1013.21,1.50,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
2,3143.91,120.91962,1.73533,0.95359,8.36089,3.1094,26,-1.0004,-2067,-2067.33,1.50,1.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
5,926.68,31.95448,1.13834,0.17530,1.85183,5.0283,29,-1.0008,-1810,-1809.76,1.00,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
20,-362.53,-17.26333,0.92467,-0.07386,-0.77341,4.7802,21,-0.9991,-2403,-2402.96,1.00,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
14,1148.13,82.00929,1.37946,0.43232,1.94843,2.5584,14,-0.9994,-1854,-1854.12,2.00,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
8,1619.86,101.24125,1.53343,0.51037,3.20886,3.0351,16,-0.9993,-1859,-1858.74,1.75,1.25,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
11,-1814.22,-100.79000,0.69400,-0.53314,-3.80169,3.3497,18,-1.0006,-2616,-2615.97,1.25,1.50,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
17,-234.10,-21.28182,0.89135,-0.11391,-0.25864,2.0271,11,-1.0008,-1009,-1008.59,1.50,1.75,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
23,361.77,45.22125,1.31251,0.17512,0.24908,2.0256,8,-0.9995,-1013,-1013.21,1.75,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
24,361.77,45.22125,1.31251,0.17512,0.24908,2.0256,8,-0.9995,-1013,-1013.21,2.00,2.00,1,1,0,7,30,15,90,5,1,1,1,0,10,0,1,1,0,1.25,0.25,0,0,40,1,3,1,774101,30,0,0,GAPCONT
