Time,Open,High,Low,Close,Volume
2015.06.15 06:33,17841.835,17842.992,17841.649,17842.970,36
2015.06.15 06:34,17842.793,17844.848,17842.713,17843.789,23
2015.06.15 06:35,17843.773,17845.968,17843.703,17844.807,34
2015.06.15 06:36,17844.749,17844.993,17842.645,17843.937,28
2015.06.15 06:37,17843.930,17850.827,17843.930,17849.992,33
2015.06.15 06:38,17850.773,17850.985,17848.579,17850.000,31
2015.06.15 06:39,17849.935,17849.935,17847.845,17847.846,30
2015.06.15 06:40,17847.785,17847.987,17842.669,17842.935,40
2015.06.15 06:41,17842.917,17846.909,17842.598,17845.862,37
2015.06.15 06:42,17845.725,17845.996,17835.614,17836.671,61
2015.06.15 06:43,17836.773,17836.947,17831.570,17833.919,75
2015.06.15 06:44,17833.923,17834.973,17833.600,17833.887,63
2015.06.15 06:45,17833.750,17837.938,17833.750,17836.789,71
2015.06.15 06:46,17836.817,17839.992,17833.725,17839.720,72
2015.06.15 06:47,17839.983,17839.997,17833.827,17836.832,70
2015.06.15 06:48,17836.939,17841.871,17836.671,17841.871,49
2015.06.15 06:49,17841.603,17842.998,17841.603,17841.979,43
2015.06.15 06:50,17841.715,17841.715,17835.862,17837.966,45
2015.06.15 06:51,17837.931,17840.988,17837.605,17840.902,51
2015.06.15 06:52,17840.892,17840.954,17838.841,17838.950,30
2015.06.15 06:53,17838.741,17840.976,17838.714,17838.798,29
2015.06.15 06:54,17837.725,17840.965,17834.907,17839.760,45
2015.06.15 06:55,17838.959,17842.986,17838.631,17842.859,32
2015.06.15 06:56,17842.776,17842.992,17841.647,17841.900,26
2015.06.15 06:57,17842.813,17842.997,17842.709,17842.755,24
2015.06.15 06:58,17842.956,17842.958,17838.805,17839.900,36
2015.06.15 06:59,17838.816,17839.958,17837.843,17837.899,21
2015.06.15 07:00,17840.984,17840.984,17826.745,17826.934,77
2015.06.15 07:01,17826.771,17831.982,17826.703,17831.739,72
2015.06.15 07:02,17831.762,17833.953,17829.580,17832.799,44
2015.06.15 07:03,17831.660,17831.869,17829.693,17830.961,42
2015.06.15 07:04,17829.912,17830.000,17827.702,17827.824,28
2015.06.15 07:05,17828.902,17830.978,17828.664,17828.985,52
2015.06.15 07:06,17828.862,17833.970,17827.876,17828.863,54
2015.06.15 07:07,17828.822,17830.960,17826.637,17830.845,42
2015.06.15 07:08,17830.911,17831.977,17830.584,17830.993,34
2015.06.15 07:09,17830.783,17831.920,17829.880,17830.998,20
2015.06.15 07:10,17830.972,17831.999,17828.733,17828.740,33
2015.06.15 07:11,17828.876,17829.927,17828.629,17829.790,22
2015.06.15 07:12,17829.958,17830.974,17829.721,17829.772,27
2015.06.15 07:13,17829.791,17832.761,17828.799,17832.761,31
2015.06.15 07:14,17832.948,17832.998,17831.896,17831.968,15
2015.06.15 07:15,17829.475,17829.978,17823.674,17826.946,69
2015.06.15 07:16,17825.852,17825.986,17819.520,17820.821,48
2015.06.15 07:17,17820.720,17824.908,17820.720,17824.746,36
2015.06.15 07:18,17824.653,17824.965,17822.797,17823.712,35
2015.06.15 07:19,17823.888,17823.992,17821.638,17821.774,35
2015.06.15 07:20,17821.871,17822.921,17819.743,17819.930,31
2015.06.15 07:21,17819.988,17820.997,17817.628,17817.865,44
2015.06.15 07:22,17817.755,17817.795,17812.862,17812.862,53
2015.06.15 07:23,17812.778,17815.974,17810.706,17815.822,44
2015.06.15 07:24,17815.699,17816.901,17814.684,17816.901,32
2015.06.15 07:25,17816.934,17820.962,17816.934,17819.908,46
2015.06.15 07:26,17819.815,17820.999,17819.740,17819.751,37
2015.06.15 07:27,17819.859,17820.935,17818.820,17819.921,36
2015.06.15 07:28,17819.903,17819.999,17818.649,17819.780,53
2015.06.15 07:29,17819.751,17820.940,17818.790,17819.825,46
2015.06.15 07:30,17819.928,17819.986,17813.678,17813.861,43
2015.06.15 07:31,17813.749,17813.990,17808.743,17811.766,72
2015.06.15 07:32,17811.880,17815.972,17811.880,17813.829,66
2015.06.15 07:33,17813.978,17813.999,17812.679,17812.933,21
2015.06.15 07:34,17812.943,17812.983,17811.709,17811.726,37
2015.06.15 07:35,17811.870,17812.949,17810.640,17810.687,43
2015.06.15 07:36,17810.745,17812.848,17809.678,17811.896,51
2015.06.15 07:37,17811.931,17814.991,17809.703,17814.850,48
2015.06.15 07:38,17814.798,17815.996,17813.679,17813.930,24
2015.06.15 07:39,17813.711,17814.907,17812.624,17813.682,54
2015.06.15 07:40,17813.953,17815.995,17812.687,17815.915,34
2015.06.15 07:41,17815.748,17815.837,17809.750,17810.913,49
2015.06.15 07:42,17810.963,17811.931,17809.691,17809.775,44
2015.06.15 07:43,17809.820,17809.998,17806.673,17806.735,70
2015.06.15 07:44,17806.966,17806.966,17804.523,17806.686,41
2015.06.15 07:45,17806.794,17806.972,17804.580,17805.949,34
2015.06.15 07:46,17805.977,17806.988,17805.618,17805.660,42
2015.06.15 07:47,17805.774,17807.991,17805.534,17806.850,37
2015.06.15 07:48,17806.869,17806.995,17806.648,17806.817,39
2015.06.15 07:49,17806.718,17806.996,17804.640,17805.993,51
2015.06.15 07:50,17805.985,17807.958,17804.721,17805.958,56
2015.06.15 07:51,17806.741,17807.996,17804.777,17807.911,49
2015.06.15 07:52,17808.969,17809.937,17808.680,17808.712,34
2015.06.15 07:53,17808.951,17809.990,17807.653,17807.800,52
2015.06.15 07:54,17807.985,17807.985,17799.626,17799.973,84
2015.06.15 07:55,17799.876,17801.955,17797.718,17798.936,104
2015.06.15 07:56,17798.813,17802.963,17798.606,17801.688,58
2015.06.15 07:57,17802.879,17805.993,17802.858,17804.963,47
2015.06.15 07:58,17804.728,17807.942,17804.659,17807.853,45
2015.06.15 07:59,17807.843,17808.997,17807.610,17808.685,30
2015.06.15 08:00,17809.747,17809.978,17807.627,17809.936,47
2015.06.15 08:01,17809.941,17809.991,17807.728,17807.893,53
2015.06.15 08:02,17807.937,17807.991,17803.540,17803.873,61
2015.06.15 08:03,17803.818,17803.997,17798.723,17798.791,65
2015.06.15 08:04,17798.694,17803.919,17797.557,17803.800,76
2015.06.15 08:05,17804.744,17805.988,17803.721,17804.838,56
2015.06.15 08:06,17804.860,17804.996,17799.697,17799.819,66
2015.06.15 08:07,17799.824,17799.987,17791.532,17792.659,63
2015.06.15 08:08,17793.699,17794.978,17788.490,17788.851,97
2015.06.15 08:09,17788.814,17790.984,17788.570,17789.856,61
2015.06.15 08:10,17788.906,17790.788,17787.698,17790.681,51
2015.06.15 08:11,17790.941,17791.989,17789.591,17790.688,65
2015.06.15 08:12,17790.984,17792.955,17789.716,17790.922,52
2015.06.15 08:13,17790.964,17793.973,17790.706,17793.740,58
2015.06.15 08:14,17793.968,17796.968,17792.704,17792.893,78
2015.06.15 08:15,17792.774,17794.996,17792.705,17794.929,71
2015.06.15 08:16,17794.703,17796.993,17794.703,17796.841,75
2015.06.15 08:17,17796.946,17800.997,17796.723,17800.913,66
2015.06.15 08:18,17800.770,17801.989,17798.630,17801.834,72
2015.06.15 08:19,17801.814,17801.996,17800.627,17801.699,68
2015.06.15 08:20,17802.853,17804.991,17802.853,17803.780,59
2015.06.15 08:21,17803.877,17806.984,17803.666,17806.832,72
2015.06.15 08:22,17806.813,17807.947,17806.708,17806.909,53
2015.06.15 08:23,17806.837,17809.963,17806.837,17809.850,35
2015.06.15 08:24,17809.901,17809.910,17807.533,17807.820,34
2015.06.15 08:25,17808.889,17808.986,17805.734,17805.878,28
2015.06.15 08:26,17804.687,17805.985,17804.664,17805.887,41
2015.06.15 08:27,17805.888,17809.996,17804.690,17806.951,35
2015.06.15 08:28,17806.778,17806.955,17805.517,17806.897,45
2015.06.15 08:29,17806.736,17806.996,17803.260,17805.894,29
2015.06.15 08:30,17805.405,17806.919,17799.244,17803.684,56
2015.06.15 08:31,17803.906,17806.975,17802.532,17803.933,62
2015.06.15 08:32,17804.837,17807.930,17798.689,17807.923,72
2015.06.15 08:33,17807.985,17808.895,17803.733,17807.899,63
2015.06.15 08:34,17805.477,17805.921,17800.626,17800.973,59
2015.06.15 08:35,17801.808,17802.951,17800.652,17801.858,35
2015.06.15 08:36,17801.694,17801.993,17799.625,17799.924,31
2015.06.15 08:37,17799.941,17799.994,17797.581,17797.773,31
2015.06.15 08:38,17797.963,17800.920,17797.679,17798.888,53
2015.06.15 08:39,17798.723,17802.976,17798.723,17799.908,47
2015.06.15 08:40,17799.827,17801.754,17797.866,17800.939,45
2015.06.15 08:41,17800.897,17801.967,17800.644,17801.943,28
2015.06.15 08:42,17801.847,17801.999,17799.654,17800.993,40
2015.06.15 08:43,17800.775,17802.965,17800.688,17802.928,32
2015.06.15 08:44,17803.747,17803.999,17800.537,17801.921,31
2015.06.15 08:45,17801.866,17801.889,17795.746,17795.924,30
2015.06.15 08:46,17795.883,17795.999,17793.604,17793.809,68
2015.06.15 08:47,17793.934,17794.948,17787.593,17789.728,54
2015.06.15 08:48,17789.809,17789.964,17785.573,17789.824,101
2015.06.15 08:49,17789.926,17791.922,17788.645,17790.779,66
2015.06.15 08:50,17789.634,17789.991,17788.760,17788.905,57
2015.06.15 08:51,17786.535,17786.913,17779.665,17782.932,86
2015.06.15 08:52,17782.688,17786.997,17781.661,17781.661,66
2015.06.15 08:53,17781.908,17784.979,17781.522,17784.618,53
