data;ampiezza_notte_pts;ora_massimo;ora_minimo;ordine;escursione_ora_2_pts;quota_su_notte_%;sessione_rompe;punti_oltre
2026.05.20;5241;2;6;MAX poi MIN;3081;58.8;MIN;2960
2026.05.21;3755;23;6;MAX poi MIN;1505;40.1;MIN;1876
2026.05.24;3159;0;23;MIN poi MAX;1608;50.9;nessuno;0
2026.05.25;5738;0;6;MAX poi MIN;2261;39.4;MIN;2274
2026.05.26;3638;0;6;MAX poi MIN;1425;39.2;MIN;9026
2026.05.27;9577;23;5;MAX poi MIN;5156;53.8;MAX;4048
2026.05.28;3164;2;0;MIN poi MAX;2820;89.1;MAX;7462
2026.05.31;3750;1;5;MAX poi MIN;1779;47.4;MIN;6222
2026.06.01;6521;6;2;MIN poi MAX;2940;45.1;MAX;1330
2026.06.02;4016;1;6;MAX poi MIN;2385;59.4;MIN;3022
2026.06.03;6012;5;23;MIN poi MAX;3021;50.2;MAX;3144
2026.06.04;4623;23;4;MAX poi MIN;2579;55.8;MIN;10984
2026.06.07;8487;1;6;MAX poi MIN;4566;53.8;nessuno;0
2026.06.08;3844;6;0;MIN poi MAX;2020;52.5;MAX;1209
2026.06.09;8505;23;5;MAX poi MIN;3537;41.6;MIN;6563
2026.06.10;9415;2;0;MIN poi MAX;5184;55.1;nessuno;0
2026.06.11;7599;23;6;MAX poi MIN;3938;51.8;MIN;37
2026.06.14;5493;3;23;MIN poi MAX;3419;62.2;MAX;3410
2026.06.15;2717;4;23;MIN poi MAX;1373;50.5;MAX;2182
2026.06.16;3201;2;5;MAX poi MIN;1532;47.9;MIN;117
2026.06.17;7165;3;23;MIN poi MAX;2150;30.0;MIN;3625
2026.06.18;8953;23;6;MAX poi MIN;1055;11.8;nessuno;0
2026.06.21;8429;2;0;MIN poi MAX;3348;39.7;nessuno;0
2026.06.22;8339;2;5;MAX poi MIN;4832;57.9;MIN;2414
2026.06.23;6462;23;4;MAX poi MIN;3369;52.1;MIN;8595
2026.06.24;5537;0;3;MAX poi MIN;3334;60.2;MAX;2541
2026.06.25;5347;23;3;MAX poi MIN;1512;28.3;MAX;5946
2026.06.28;3912;23;6;MAX poi MIN;2074;53.0;MIN;3905
2026.06.29;7883;0;2;MAX poi MIN;4355;55.2;MAX;4096
2026.06.30;4843;0;6;MAX poi MIN;2588;53.4;MIN;964
2026.07.01;4336;4;1;MIN poi MAX;2322;53.6;MAX;6995
2026.07.02;7429;2;0;MIN poi MAX;4876;65.6;nessuno;0
2026.07.05;5800;2;6;MAX poi MIN;3022;52.1;MIN;1628
2026.07.06;5185;23;6;MAX poi MIN;2226;42.9;MAX;1202
2026.07.07;3808;6;0;MIN poi MAX;2145;56.3;MIN;7407
2026.07.08;3545;1;4;MAX poi MIN;1648;46.5;MAX;4679
2026.07.09;2653;4;6;MAX poi MIN;2219;83.6;MIN;3573
2026.07.12;4347;23;5;MAX poi MIN;2427;55.8;MIN;4990
2026.07.13;5050;6;1;MIN poi MAX;2001;39.6;MAX;6740
2026.07.14;3989;2;6;MAX poi MIN;2645;66.3;MIN;476
2026.07.15;4067;23;3;MAX poi MIN;1676;41.2;MIN;5039
2026.07.16;3800;4;3;MIN poi MAX;1699;44.7;MIN;1104
2026.07.19;4600;3;1;MIN poi MAX;2492;54.2;MAX;1206
2026.07.20;6816;6;23;MIN poi MAX;1739;25.5;MAX;1539
2026.07.21;6489;4;1;MIN poi MAX;2684;41.4;MAX;2435
2026.07.22;2894;2;3;MAX poi MIN;2675;92.4;MIN;7193
2026.07.23;2877;1;6;MAX poi MIN;1025;35.6;MAX;3125
2026.07.26;3244;1;0;MIN poi MAX;1552;47.8;MIN;1835
2026.07.27;4641;23;6;MAX poi MIN;1771;38.2;MIN;2342
2026.07.28;2972;6;2;MIN poi MAX;2019;67.9;MAX;771
2026.07.29;7192;0;6;MAX poi MIN;2268;31.5;MAX;2007
2026.07.30;3967;0;4;MAX poi MIN;1964;49.5;MIN;5097
2026.08.02;3170;1;2;MAX poi MIN;1621;51.1;MIN;2822
2026.08.03;2674;1;2;MAX poi MIN;1937;72.4;MAX;2480
2026.08.04;10596;6;0;MIN poi MAX;2503;23.6;nessuno;0
