file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.29 08:05:34;2024.10.29;8;D30EUR;long;tp;19600.6;19601.0;13.1;1792.08;-0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.30 09:00:07;2024.10.30;9;D30EUR;long;sl;19395.7;19393.4;35.1;-993.33;2.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.30 09:59:17;2024.10.30;9;D30EUR;long;sl;19386.8;19386.5;37.1;-912.66;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.30 10:40:02;2024.10.30;10;D30EUR;long;sl;19366.0;19366.0;46.3;-893.59;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.31 08:47:41;2024.10.31;8;D30EUR;long;sl;19136.0;19134.4;62.3;-984.34;1.5999999999985448
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.31 15:06:41;2024.10.31;15;D30EUR;long;sl;19082.4;19081.7;18.7;-888.25;0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.10.31 16:27:33;2024.10.31;16;D30EUR;long;sl;19011.7;19011.7;62.7;-865.26;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.01 09:10:11;2024.11.01;9;D30EUR;long;tp;19125.4;19126.6;30.6;1750.32;-1.1999999999970896
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.04 11:04:02;2024.11.04;11;D30EUR;long;tp;19276.8;19277.7;41.2;1783.96;-0.9000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.04 17:29:22;2024.11.04;17;D30EUR;long;sl;19161.5;19161.1;42.9;-909.48;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.05 09:54:51;2024.11.05;9;D30EUR;long;tp;19170.7;19170.7;38.7;1764.72;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.05 18:08:01;2024.11.05;18;D30EUR;long;tp;19286.9;19287.3;17.2;1802.56;-0.3999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.06 09:29:55;2024.11.06;9;D30EUR;long;tp;19513.3;19513.7;8.4;1839.6;-0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.08 09:05:33;2024.11.08;9;D30EUR;long;sl;19353.4;19352.8;15.4;-944.02;0.6000000000021828
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.08 09:56:27;2024.11.08;9;D30EUR;long;sl;19326.8;19326.8;48.0;-926.4;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.12 13:58:17;2024.11.12;13;D30EUR;long;sl;19221.6;19221.4;7.8;-915.72;0.19999999999708962
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.13 08:18:20;2024.11.13;8;D30EUR;long;tp;19016.2;19017.0;100.0;1140.0;-0.7999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.13 13:01:17;2024.11.13;13;D30EUR;long;sl;19002.8;19002.3;18.5;-928.7;0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.13 15:25:52;2024.11.13;15;D30EUR;long;sl;18919.8;18919.3;11.7;-910.26;0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.14 08:43:20;2024.11.14;8;D30EUR;long;tp;19024.8;19028.7;29.0;1916.9;-3.900000000001455
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.15 08:25:59;2024.11.15;8;D30EUR;long;sl;19142.8;19142.1;52.3;-957.09;0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.15 09:38:15;2024.11.15;9;D30EUR;long;tp;19178.9;19179.5;46.0;1849.2;-0.5999999999985448
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.15 11:57:23;2024.11.15;11;D30EUR;long;tp;19287.9;19289.8;17.9;1888.45;-1.8999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.18 08:28:41;2024.11.18;8;D30EUR;long;sl;19254.3;19254.3;38.8;-946.72;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.18 10:01:16;2024.11.18;10;D30EUR;long;sl;19211.3;19210.8;32.0;-953.6;0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.19 09:40:01;2024.11.19;9;D30EUR;long;sl;19087.2;19086.8;16.3;-932.36;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.19 10:16:00;2024.11.19;10;D30EUR;long;sl;19066.3;19066.2;30.9;-920.82;0.09999999999854481
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.19 17:15:53;2024.11.19;17;D30EUR;long;tp;19030.6;19031.3;17.0;1824.1;-0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.21 09:19:04;2024.11.21;9;D30EUR;long;sl;18994.4;18994.2;18.6;-930.0;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.21 10:10:03;2024.11.21;10;D30EUR;long;sl;18951.7;18951.7;16.7;-915.16;0.0
