"Simbolo","Che","Anno","Esito","Byte","Url","Fase"
"FRAIDXEUR","CAC 40","2025","OK","10011","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"USA30IDXUSD","Dow Jones 30","2008","ASSENTE","0","","2-scala"
"USA30IDXUSD","Dow Jones 30","2010","ASSENTE","0","","2-scala"
"USA30IDXUSD","Dow Jones 30","2012","OK","5067","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2012/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2015","OK","47032","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2015/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2018","OK","35351","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2018/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2020","OK","126522","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2020/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2022","OK","115883","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2022/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2024","OK","33132","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2024/05/17/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2025","OK","49445","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2025/05/16/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2011","ASSENTE","0","","3-stringo"
"USATECHIDXUSD","Nasdaq 100","2008","ASSENTE","0","","2-scala"
"USATECHIDXUSD","Nasdaq 100","2010","ASSENTE","0","","2-scala"
"USATECHIDXUSD","Nasdaq 100","2012","OK","6513","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2012/05/15/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2015","OK","38860","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2015/05/15/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2018","OK","47800","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2018/05/15/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2020","OK","112412","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2020/05/15/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2022","OK","151996","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2022/05/15/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2024","OK","69036","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2024/05/17/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2025","OK","95995","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2025/05/16/15h_ticks.bi5","2-scala"
"USATECHIDXUSD","Nasdaq 100","2011","ASSENTE","0","","3-stringo"
"USA500IDXUSD","S&P 500","2008","ASSENTE","0","","2-scala"
"USA500IDXUSD","S&P 500","2010","ASSENTE","0","","2-scala"
"USA500IDXUSD","S&P 500","2012","OK","2403","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2012/05/15/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2015","OK","24114","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2015/05/15/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2018","OK","6930","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2018/05/15/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2020","OK","71458","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2020/05/15/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2022","OK","44738","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2022/05/15/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2024","OK","15895","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2024/05/17/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2025","OK","29018","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2025/05/16/15h_ticks.bi5","2-scala"
"USA500IDXUSD","S&P 500","2011","ASSENTE","0","","3-stringo"
"DEUIDXEUR","DAX 40","2008","ASSENTE","0","","2-scala"
"DEUIDXEUR","DAX 40","2010","ASSENTE","0","","2-scala"
"DEUIDXEUR","DAX 40","2012","OK","5634","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2012/05/15/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2015","OK","36712","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2015/05/15/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2018","OK","33891","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2018/05/15/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2020","OK","87734","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2020/05/15/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2022","OK","43281","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2022/05/15/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2024","OK","7812","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2024/05/17/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2025","OK","17875","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2025/05/16/15h_ticks.bi5","2-scala"
"DEUIDXEUR","DAX 40","2011","ASSENTE","0","","3-stringo"
"JPNIDXJPY","Nikkei 225","2008","ASSENTE","0","","2-scala"
"JPNIDXJPY","Nikkei 225","2010","ASSENTE","0","","2-scala"
"JPNIDXJPY","Nikkei 225","2012","VUOTO","0","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2012/05/19/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2015","OK","2285","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2015/05/15/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2018","OK","4000","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2018/05/15/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2020","OK","16904","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2020/05/15/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2022","OK","9006","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2022/05/15/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2024","OK","4717","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2024/05/17/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2025","OK","8722","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2025/05/16/15h_ticks.bi5","2-scala"
"JPNIDXJPY","Nikkei 225","2013","OK","1736","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2013/05/17/15h_ticks.bi5","3-stringo"
"EUSIDXEUR","Euro Stoxx 50","2008","ASSENTE","0","","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2010","ASSENTE","0","","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2012","OK","694","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2012/05/15/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2015","OK","6024","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2015/05/15/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2018","OK","2074","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2018/05/15/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2020","OK","22227","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2020/05/15/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2022","OK","6996","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2022/05/15/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2024","OK","1401","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2024/05/17/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2025","OK","1814","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2025/05/16/15h_ticks.bi5","2-scala"
"EUSIDXEUR","Euro Stoxx 50","2011","ASSENTE","0","","3-stringo"
"GBRIDXGBP","FTSE 100","2008","ASSENTE","0","","2-scala"
"GBRIDXGBP","FTSE 100","2010","ASSENTE","0","","2-scala"
"GBRIDXGBP","FTSE 100","2012","OK","15881","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2012/05/15/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2015","OK","10453","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2015/05/15/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2018","OK","18688","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2018/05/15/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2020","OK","43463","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2020/05/15/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2022","OK","37719","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2022/05/15/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2024","OK","8427","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2024/05/17/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2025","OK","17583","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2025/05/16/15h_ticks.bi5","2-scala"
"GBRIDXGBP","FTSE 100","2011","ASSENTE","0","","3-stringo"
"FRAIDXEUR","CAC 40","2008","ASSENTE","0","","2-scala"
"FRAIDXEUR","CAC 40","2010","ASSENTE","0","","2-scala"
"FRAIDXEUR","CAC 40","2012","OK","666","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2012/05/15/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2015","OK","17963","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2015/05/15/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2018","OK","14858","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2018/05/15/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2020","OK","38145","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2020/05/15/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2022","OK","14320","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2022/05/15/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2024","OK","8104","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2024/05/17/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2025","OK","10011","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2025/05/16/15h_ticks.bi5","2-scala"
"FRAIDXEUR","CAC 40","2011","ASSENTE","0","","3-stringo"
