Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpCrossLookback,InpHACount,InpAdxMin,InpRequireAdxRising,InpMaxDistATR,InpMaxDistEma21ATR,InpUsaGuardian,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpHAAutoCount,InpHAWickRatio,InpHABodyFactor,InpUseBBExpand,InpBBPeriod,InpBBDev,InpBBExpandBars,InpBBExpandMult,InpAdxPeriod,InpAdxRising,InpRequireDI,InpMinRR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpAllowLong,InpAllowShort,InpSLMode,InpSwingLookback,InpAtrPeriod,InpAtrSLmult,InpSLBufferPts,InpTP_R,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
3,-143.97,-71.98500,0.00000,-0.83311,-0.33255,1.7281,2,3,3,20,0,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
111,79.04,7.90400,1.27026,0.26094,0.43736,2.9585,10,3,3,20,1,1.0,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
39,42.29,3.25308,1.10857,0.10582,0.25851,3.8805,13,3,3,20,1,1.0,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
130,102.52,17.08667,1.70978,0.50319,0.48876,2.0047,6,5,3,25,0,1.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
98,219.91,13.74438,1.59043,0.74084,1.76984,2.8666,16,7,2,20,0,1.0,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
26,173.44,8.67200,1.33555,0.44630,1.40773,3.7353,20,7,2,20,0,1.0,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
58,-7.39,-0.61583,0.97762,-0.01912,-0.03663,3.7745,12,5,3,25,0,1.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
76,-143.97,-71.98500,0.00000,-0.83311,-0.33255,1.7281,2,5,3,20,0,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
4,-143.97,-71.98500,0.00000,-0.83311,-0.33255,1.7281,2,5,3,20,0,0.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
112,82.19,7.47182,1.28078,0.27133,0.47227,2.9576,11,5,3,20,1,1.0,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
40,45.44,3.24571,1.11658,0.11371,0.29786,3.8793,14,5,3,20,1,1.0,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
99,78.47,7.84700,1.26788,0.25967,0.43650,2.9519,10,3,3,20,0,1.0,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
27,41.98,3.22923,1.10765,0.10524,0.25748,3.8738,13,3,3,20,0,1.0,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
131,102.52,17.08667,1.70978,0.50319,0.48876,2.0047,6,7,3,25,0,1.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
59,104.75,6.16176,1.27843,0.27070,0.76701,3.7393,17,7,3,25,0,1.5,0,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
77,-143.97,-71.98500,0.00000,-0.83311,-0.33255,1.7281,2,7,3,20,0,0.5,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
100,80.60,7.32727,1.27539,0.26714,0.46661,2.9467,11,5,3,20,0,1.0,1,1,16388,9,21,50,3,1,0,0.3,0.6,0,20,2,3,1.05,14,1,1,1,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,778735,0,0
