Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpCrossLookback,InpHACount,InpAdxMin,InpRequireAdxRising,InpMaxDistATR,InpMaxDistEma21ATR,InpUsaGuardian,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpHAWickRatio,InpHABodyFactor,InpAdxPeriod,InpAdxRising,InpRequireDI,InpMinRR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpAllowLong,InpAllowShort,InpSLMode,InpSwingLookback,InpAtrPeriod,InpAtrSLmult,InpSLBufferPts,InpTP_R,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
58,-343.23,-9.27649,0.68926,-0.52409,-3.46515,6.5385,37,5,3,25,0,1.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
40,-286.00,-15.05263,0.57678,-0.78159,-4.83021,3.6303,19,5,3,20,1,1.0,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
95,-186.69,-37.33800,0.48560,-0.50382,-0.84090,3.6386,5,7,3,25,1,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
131,-280.27,-25.47909,0.43609,-0.78681,-2.92775,3.5353,11,7,3,25,0,1.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
77,-186.69,-37.33800,0.48560,-0.50382,-0.84090,3.6386,5,7,3,20,0,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
23,-186.69,-37.33800,0.48560,-0.50382,-0.84090,3.6386,5,7,3,25,1,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
5,-186.69,-37.33800,0.48560,-0.50382,-0.84090,3.6386,5,7,3,20,0,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
113,-132.99,-7.82294,0.78447,-0.37332,-2.17459,3.5314,17,7,3,20,1,1.0,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
41,-178.30,-6.36786,0.79495,-0.42077,-2.58438,4.1951,28,7,3,20,1,1.0,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
59,-214.52,-4.76711,0.83452,-0.32242,-1.71967,6.6428,45,7,3,25,0,1.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
